variant,canonical,wikt_variant_kind,wikt_regions,zipf,tier
egis,aegis,alt_of,,1.32,RARE
embassador,ambassador,alt_of,,1.48,RARE
emeer,emir,alt_of,,0.0,OBSCURE
enanthema,enanthem,alt_of,,0.0,OBSCURE
encrustation,incrustation,alt_of,,1.35,RARE
encumbrance,incumbrance,alt_of,,2.18,UNCOMMON
encyclopaedia,encyclopedia,commonwealth,,2.81,UNCOMMON
encyclopaedism,encyclopedism,alt_of,,0.0,OBSCURE
encyclopaedist,encyclopedist,alt_of,,0.0,OBSCURE
endeavour,endeavor,british,,3.45,FAMILIAR
energiser,energizer,alt_of,,1.5,RARE
enjambement,enjambment,alt_of,,0.0,OBSCURE
enologist,oenologist,alt_of,US,0.0,OBSCURE
enology,oenology,alt_of,US,1.6,RARE
enophile,oenophile,alt_of,,0.0,OBSCURE
enquirer,inquirer,alt_of,,2.83,UNCOMMON
enquiry,inquiry,alt_of,British,3.41,FAMILIAR
enrolment,enrollment,uk,,3.09,FAMILIAR
entoderm,endoderm,alt_of,,0.0,OBSCURE
entoparasite,endoparasite,alt_of,,0.0,OBSCURE
eonni,unnie,alt_of,,2.21,UNCOMMON
eosinophile,eosinophil,alt_of,,0.0,OBSCURE
epaulet,epaulette,alt_of,,1.39,RARE
epha,ephah,alt_of,,0.0,OBSCURE
epicenter,epicentre,alt_of,US,2.9,UNCOMMON
epigon,epigone,alt_of,,0.0,OBSCURE
epilog,epilogue,alt_of,US,1.43,RARE
epinephrin,epinephrine,alt_of,,0.0,OBSCURE
equalisation,equalization,alt_of,,2.18,UNCOMMON
equaliser,equalizer,alt_of,UK,2.86,UNCOMMON
eringo,eryngo,alt_of,,0.0,OBSCURE
ern,erne,alt_of,,2.32,UNCOMMON
escarp,scarp,alt_of,,0.0,OBSCURE
eschalot,shallot,alt_of,,0.0,OBSCURE
esophagus,oesophagus,alt_of,US,2.91,UNCOMMON
essonite,hessonite,alt_of,,0.0,OBSCURE
esthesia,aesthesia,alt_of,,0.0,OBSCURE
esthete,aesthete,alt_of,,0.0,OBSCURE
esthetician,aesthetician,alt_of,US,1.94,RARE
esthetics,aesthetics,alt_of,US,2.18,UNCOMMON
estivation,aestivation,alt_of,,0.0,OBSCURE
estrus,oestrus,alt_of,US,2.01,UNCOMMON
etamin,etamine,alt_of,,0.0,OBSCURE
etiology,aetiology,alt_of,US,2.61,UNCOMMON
eucaryote,eukaryote,alt_of,,0.0,OBSCURE
eudemon,eudaemon,alt_of,,0.0,OBSCURE
euglenoid,euglenid,alt_of,,0.0,OBSCURE
eupnoea,eupnea,alt_of,,0.0,OBSCURE
eurhythmics,eurythmics,alt_of,,0.0,OBSCURE
eurhythmy,eurythmy,alt_of,,0.0,OBSCURE
exanthema,exanthem,alt_of,,0.0,OBSCURE
extemporisation,extemporization,alt_of,UK,0.0,OBSCURE
externalisation,externalization,alt_of,,1.06,RARE
extraversion,extroversion,alt_of,,2.04,UNCOMMON
extravert,extrovert,alt_of,,1.46,RARE
eyeglass,eyeglasses,attributive,,2.33,UNCOMMON
eyry,eyrie,alt_of,,0.0,OBSCURE
facia,fascia,alt_of,,1.74,RARE
factorisation,factorization,alt_of,,1.33,RARE
faeces,feces,alt_of,Commonwealth,2.71,UNCOMMON
faerie,fairy,alt_of,,2.72,UNCOMMON
faery,fairy,alt_of,,2.03,UNCOMMON
fagot,faggot,alt_of,Ireland;UK,1.98,RARE
fakeer,fakir,alt_of,,0.0,OBSCURE
falderol,folderol,alt_of,,0.0,OBSCURE
familiarisation,familiarization,alt_of,UK,1.65,RARE
fantasm,phantasm,alt_of,,0.0,OBSCURE
faqir,fakir,alt_of,,1.4,RARE
faquir,fakir,alt_of,,0.0,OBSCURE
fasciolosis,fascioliasis,alt_of,,0.0,OBSCURE
fatigue,fatigues,attributive,US,3.86,FAMILIAR
fatism,fattism,alt_of,,0.0,OBSCURE
fatwah,fatwa,alt_of,,1.02,RARE
favorableness,favourableness,alt_of,,0.0,OBSCURE
favorite,favourite,alt_of,Canada;US,4.97,COMMON
favoritism,favouritism,alt_of,US,2.78,UNCOMMON
favour,favor,british,,4.31,COMMON
federalisation,federalization,alt_of,UK,1.43,RARE
felafel,falafel,alt_of,,1.16,RARE
fella,fellow,alt_of,,3.49,FAMILIAR
fellation,fellatio,alt_of,,0.0,OBSCURE
felspar,feldspar,alt_of,,0.0,OBSCURE
feminisation,feminization,alt_of,UK,1.51,RARE
femtometer,femtometre,alt_of,US,0.0,OBSCURE
fertilisation,fertilization,alt_of,UK,2.54,UNCOMMON
fertiliser,fertilizer,alt_of,UK,2.86,UNCOMMON
fervour,fervor,commonwealth,,2.75,UNCOMMON
fesse,fess,alt_of,,1.27,RARE
fetich,fetish,alt_of,,0.0,OBSCURE
fetichism,fetishism,alt_of,,0.0,OBSCURE
fiberglass,fibreglass,alt_of,US,3.04,FAMILIAR
fibreboard,fiberboard,uk,,1.51,RARE
fice,feist,alt_of,US,1.87,RARE
fictionalisation,fictionalization,alt_of,,0.0,OBSCURE
filagree,filigree,alt_of,,1.08,RARE
filet,fillet,alt_of,US,2.8,UNCOMMON
fillagree,filigree,alt_of,,0.0,OBSCURE
finalization,finalisation,alt_of,,2.07,UNCOMMON
fiord,fjord,alt_of,New-Zealand,1.87,RARE
flavour,flavor,british,,3.73,FAMILIAR
flavourer,flavorer,british,,0.0,OBSCURE
flavourlessness,flavorlessness,alt_of,,0.0,OBSCURE
flavoursomeness,flavorsomeness,alt_of,,0.0,OBSCURE
flection,flexion,alt_of,,0.0,OBSCURE
flier,flyer,alt_of,,2.92,UNCOMMON
flindosa,flindosy,alt_of,,0.0,OBSCURE
floatation,flotation,alt_of,,2.0,UNCOMMON
floozy,floozie,alt_of,,1.81,RARE
fluegelhorn,flugelhorn,alt_of,,0.0,OBSCURE
fluoresceine,fluorescein,alt_of,,0.0,OBSCURE
flutist,flautist,alt_of,,2.1,UNCOMMON
focalisation,focalization,alt_of,,0.0,OBSCURE
foetology,fetology,alt_of,,0.0,OBSCURE
foetometry,fetometry,alt_of,,0.0,OBSCURE
foetoprotein,fetoprotein,alt_of,,0.0,OBSCURE
foetoscope,fetoscope,alt_of,UK,0.0,OBSCURE
foetoscopy,fetoscopy,alt_of,,0.0,OBSCURE
foetus,fetus,alt_of,Commonwealth,2.78,UNCOMMON
fogy,fogey,alt_of,US,1.24,RARE
fohn,foehn,alt_of,,0.0,OBSCURE
folderal,folderol,alt_of,,0.0,OBSCURE
fontanel,fontanelle,alt_of,,1.43,RARE
forbear,forebear,alt_of,,2.01,UNCOMMON
formalisation,formalization,alt_of,UK,1.54,RARE
fossilisation,fossilization,uk,,1.05,RARE
foulmart,foumart,alt_of,,0.0,OBSCURE
fount,font,alt_of,UK,2.28,UNCOMMON
framboesia,frambesia,alt_of,,0.0,OBSCURE
frangipanni,frangipani,alt_of,,0.0,OBSCURE
fraternisation,fraternization,alt_of,UK,1.3,RARE
freebee,freebie,alt_of,,1.31,RARE
frier,fryer,alt_of,,1.76,RARE
frijole,frijol,alt_of,,0.0,OBSCURE
fulfillment,fulfilment,alt_of,US,3.44,FAMILIAR
furane,furan,alt_of,,0.0,OBSCURE
furore,furor,alt_of,UK,2.36,UNCOMMON
fuzee,fusee,alt_of,,0.0,OBSCURE
gaberdine,gabardine,alt_of,,1.12,RARE
galingale,galangal,alt_of,,0.0,OBSCURE
galvanisation,galvanization,alt_of,,0.0,OBSCURE
galvaniser,galvanizer,alt_of,,0.0,OBSCURE
gangsta,gangster,alt_of,,3.01,FAMILIAR
ganof,ganef,alt_of,,0.0,OBSCURE
ganoin,ganoine,alt_of,,0.0,OBSCURE
gantlet,gauntlet,alt_of,US,1.32,RARE
gaol,jail,dated,UK,2.84,UNCOMMON
gaolbird,jailbird,dated,Commonwealth,0.0,OBSCURE
gaolbreak,jailbreak,dated,Commonwealth,0.0,OBSCURE
gaoler,jailer,dated,Commonwealth,1.65,RARE
garotte,garrotte,alt_of,,1.11,RARE
garrotte,garrote,alt_of,,1.33,RARE
garrotter,garroter,alt_of,,0.0,OBSCURE
gasolene,gasoline,alt_of,,0.0,OBSCURE
gauntry,gantry,alt_of,,0.0,OBSCURE
gelatine,gelatin,alt_of,,2.34,UNCOMMON
gelly,jelly,alt_of,,1.57,RARE
gemsbuck,gemsbok,alt_of,,0.0,OBSCURE
gendarmery,gendarmerie,alt_of,,0.0,OBSCURE
generalisability,generalizability,alt_of,UK,0.0,OBSCURE
genuflexion,genuflection,alt_of,,0.0,OBSCURE
gerbille,gerbil,dated,,0.0,OBSCURE
gerfalcon,gyrfalcon,alt_of,,0.0,OBSCURE
gild,guild,alt_of,,2.43,UNCOMMON
gildhall,guildhall,alt_of,,0.0,OBSCURE
gingko,ginkgo,alt_of,,1.78,RARE
gipsy,gypsy,dated,UK,2.65,UNCOMMON
girandola,girandole,alt_of,,0.0,OBSCURE
gismo,gizmo,alt_of,,1.29,RARE
glamor,glamour,alt_of,US,2.34,UNCOMMON
glamorisation,glamorization,alt_of,UK,0.0,OBSCURE
glamourisation,glamorization,british,,0.0,OBSCURE
glamourization,glamorization,alt_of,,0.0,OBSCURE
globalization,globalisation,american,,3.46,FAMILIAR
gluiness,glueyness,alt_of,,0.0,OBSCURE
glycerin,glycerine,alt_of,US,2.62,UNCOMMON
goiter,goitre,alt_of,US,2.06,UNCOMMON
golliwogg,golliwog,alt_of,,0.0,OBSCURE
golosh,galosh,alt_of,,0.0,OBSCURE
gondoliere,gondolier,alt_of,,0.0,OBSCURE
gonif,ganef,alt_of,,0.0,OBSCURE
goniff,ganef,alt_of,,0.0,OBSCURE
gonorrhoea,gonorrhea,alt_of,UK,2.18,UNCOMMON
goodby,goodbye,alt_of,,1.89,RARE
gospeller,gospeler,alt_of,,0.0,OBSCURE
gothite,goethite,alt_of,,0.0,OBSCURE
gramme,gram,alt_of,UK,1.64,RARE
grandad,granddad,alt_of,,2.99,UNCOMMON
grannie,granny,alt_of,,1.95,RARE
grayback,greyback,alt_of,,0.0,OBSCURE
graybeard,greybeard,alt_of,,1.08,RARE
graylag,greylag,alt_of,,0.0,OBSCURE
grayness,greyness,alt_of,,1.4,RARE
grey,gray,commonwealth,,4.48,COMMON
griffon,griffin,alt_of,,2.37,UNCOMMON
grille,grill,alt_of,,3.1,FAMILIAR
grind,grindcore,alt_of,,3.94,FAMILIAR
grossbeak,grosbeak,alt_of,,0.0,OBSCURE
grotesquery,grotesquerie,alt_of,,0.0,OBSCURE
groundkeeper,groundskeeper,alt_of,,0.0,OBSCURE
groveller,groveler,british,,0.0,OBSCURE
grummet,grommet,alt_of,,0.0,OBSCURE
gryphon,griffin,alt_of,,2.2,UNCOMMON
guerilla,guerrilla,alt_of,,2.9,UNCOMMON
guestimate,guesstimate,alt_of,,1.23,RARE
gunnel,gunwale,alt_of,,1.5,RARE
gymel,gimel,alt_of,,0.0,OBSCURE
gynaecologist,gynecologist,alt_of,Commonwealth,2.4,UNCOMMON
gynaecology,gynecology,alt_of,Commonwealth,2.49,UNCOMMON
gyrostabiliser,gyrostabilizer,alt_of,UK,0.0,OBSCURE
hackbut,arquebus,alt_of,,0.0,OBSCURE
hadj,hajj,alt_of,,1.87,RARE
hadji,hajji,alt_of,,2.23,UNCOMMON
haemagglutination,hemagglutination,alt_of,UK,0.0,OBSCURE
haemangioma,hemangioma,alt_of,UK,0.0,OBSCURE
haematemesis,hematemesis,alt_of,UK,0.0,OBSCURE
haematin,hematin,alt_of,UK,0.0,OBSCURE
haematinic,hematinic,alt_of,,0.0,OBSCURE
haematite,hematite,alt_of,UK,1.51,RARE
haematocele,hematocele,alt_of,UK,0.0,OBSCURE
haematochezia,hematochezia,alt_of,,0.0,OBSCURE
haematocolpos,hematocolpos,alt_of,,0.0,OBSCURE
haematocrit,hematocrit,alt_of,UK,1.11,RARE
haematoidin,hematoidin,alt_of,,0.0,OBSCURE
haematoma,hematoma,uk,,2.02,UNCOMMON
haematopoiesis,hematopoiesis,alt_of,UK,0.0,OBSCURE
haematuria,hematuria,uk,,1.1,RARE
haemoglobin,hemoglobin,alt_of,Commonwealth,2.28,UNCOMMON
haemoglobinuria,hemoglobinuria,alt_of,UK,0.0,OBSCURE
haemolysin,hemolysin,alt_of,,0.0,OBSCURE
haemolysis,hemolysis,alt_of,UK,1.15,RARE
haemoprotein,hemoprotein,alt_of,,0.0,OBSCURE
haemoptysis,hemoptysis,alt_of,UK,1.04,RARE
haemorrhage,hemorrhage,british,,2.74,UNCOMMON
haemorrhoid,hemorrhoid,alt_of,UK,1.24,RARE
haemorrhoidectomy,hemorrhoidectomy,alt_of,,0.0,OBSCURE
haemosiderin,hemosiderin,alt_of,,0.0,OBSCURE
haemosiderosis,hemosiderosis,alt_of,,0.0,OBSCURE
haemostasia,hemostasia,alt_of,,0.0,OBSCURE
haemostasis,hemostasis,alt_of,UK,1.29,RARE
haemothorax,hemothorax,alt_of,,0.0,OBSCURE
haick,haik,alt_of,,0.0,OBSCURE
haj,hajj,alt_of,,2.53,UNCOMMON
haji,hajji,alt_of,,2.81,UNCOMMON
hakeem,hakim,alt_of,,2.85,UNCOMMON
haler,heller,alt_of,,1.2,RARE
hallah,challah,alt_of,,0.0,OBSCURE
halliard,halyard,alt_of,,0.0,OBSCURE
halm,haulm,alt_of,,1.62,RARE
handmaiden,handmaid,alt_of,,2.31,UNCOMMON
hankie,hanky,alt_of,,1.78,RARE
harbour,harbor,standard,,3.98,FAMILIAR
harbourage,harborage,alt_of,UK,0.0,OBSCURE
hareem,harem,alt_of,,1.36,RARE
haschisch,hashish,alt_of,,0.0,OBSCURE
hasheesh,hashish,alt_of,,1.17,RARE
hawkbill,hawksbill,alt_of,,0.0,OBSCURE
hectoliter,hectolitre,alt_of,,1.07,RARE
hectometer,hectometre,alt_of,US,0.0,OBSCURE
hejira,hegira,alt_of,,1.12,RARE
hemianopia,hemianopsia,alt_of,,1.28,RARE
hemipteron,hemipteran,alt_of,,0.0,OBSCURE
hemophilia,haemophilia,alt_of,US,2.41,UNCOMMON
hemopoiesis,hematopoiesis,alt_of,,0.0,OBSCURE
hermaphrodism,hermaphroditism,alt_of,,0.0,OBSCURE
hesitator,hesitater,alt_of,,0.0,OBSCURE
hex,hexadecimal,alt_of,,3.31,FAMILIAR
hiccough,hiccup,dated,,1.14,RARE
hierarchisation,hierarchization,alt_of,,0.0,OBSCURE
highflyer,highflier,alt_of,,1.17,RARE
highjack,hijack,alt_of,,1.4,RARE
highjacker,hijacker,alt_of,,0.0,OBSCURE
hinderance,hindrance,alt_of,,1.76,RARE
hippy,hippie,alt_of,,3.0,FAMILIAR
hoactzin,hoatzin,alt_of,,0.0,OBSCURE
hoagy,hoagie,alt_of,,1.62,RARE
hodometer,odometer,alt_of,,0.0,OBSCURE
holibut,halibut,alt_of,,0.0,OBSCURE
holloa,hollo,alt_of,,0.0,OBSCURE
holloware,hollowware,alt_of,,0.0,OBSCURE
hommos,hummus,alt_of,,0.0,OBSCURE
homoeopath,homeopath,alt_of,,0.0,OBSCURE
homoeopathy,homeopathy,alt_of,,1.9,RARE
homogenisation,homogenization,alt_of,,1.54,RARE
homoiotherm,homeotherm,alt_of,,0.0,OBSCURE
homotherm,homeotherm,alt_of,,0.0,OBSCURE
honkey,honky,alt_of,,1.56,RARE
honkie,honky,alt_of,,0.0,OBSCURE
honour,honor,british,,4.37,COMMON
honourableness,honorableness,alt_of,,0.0,OBSCURE
hoodmold,hoodmould,alt_of,US,0.0,OBSCURE
hoopoo,hoopoe,alt_of,,0.0,OBSCURE
hoosgow,hoosegow,alt_of,,0.0,OBSCURE
hootch,hooch,alt_of,,1.25,RARE
hospitalisation,hospitalization,alt_of,UK,2.22,UNCOMMON
houdah,howdah,alt_of,,0.0,OBSCURE
hoummos,hummus,alt_of,,0.0,OBSCURE
hudood,hudud,alt_of,,1.12,RARE
hullo,hello,alt_of,UK,2.05,UNCOMMON
humanisation,humanization,alt_of,,0.0,OBSCURE
humor,humour,alt_of,US,4.19,COMMON
humourist,humorist,alt_of,UK,1.55,RARE
hutzpah,chutzpah,alt_of,,0.0,OBSCURE
hyaena,hyena,dated,,1.62,RARE
hyalin,hyaline,alt_of,,0.0,OBSCURE
hyalinisation,hyalinization,alt_of,,0.0,OBSCURE
hybridisation,hybridization,alt_of,UK,2.02,UNCOMMON
hyperaemia,hyperemia,alt_of,,0.0,OBSCURE
hypercalcaemia,hypercalcemia,alt_of,,1.03,RARE
hypercalciuria,hypercalcinuria,alt_of,,0.0,OBSCURE
hyperglycaemia,hyperglycemia,alt_of,,1.44,RARE
hyperidrosis,hyperhidrosis,alt_of,,0.0,OBSCURE
hyperlipaemia,hyperlipemia,alt_of,,0.0,OBSCURE
hyperlipemia,hyperlipidemia,alt_of,,0.0,OBSCURE
hyperlipidaemia,hyperlipidemia,alt_of,,1.25,RARE
hyperlipoidaemia,hyperlipoidemia,alt_of,,0.0,OBSCURE
hypermetropy,hypermetropia,alt_of,,0.0,OBSCURE
hypervolaemia,hypervolemia,alt_of,,0.0,OBSCURE
hypesthesia,hypoesthesia,alt_of,,0.0,OBSCURE
hypnotiser,hypnotizer,alt_of,,0.0,OBSCURE
hypocalcaemia,hypocalcemia,alt_of,,0.0,OBSCURE
hypoglycaemia,hypoglycemia,alt_of,,1.97,RARE
hypostatisation,hypostatization,alt_of,,0.0,OBSCURE
hypovolaemia,hypovolemia,alt_of,,0.0,OBSCURE
ichthyosaurus,ichthyosaur,alt_of,,1.25,RARE
idealisation,idealization,alt_of,,1.5,RARE
idolisation,idolization,alt_of,,0.0,OBSCURE
idoliser,idolizer,alt_of,UK,0.0,OBSCURE
idyl,idyll,alt_of,US,1.37,RARE
iglu,igloo,alt_of,,1.08,RARE
ignitor,igniter,alt_of,,1.58,RARE
ikon,icon,alt_of,,2.44,UNCOMMON
imaum,imam,alt_of,,0.0,OBSCURE
iminazole,imidazole,alt_of,,0.0,OBSCURE
immanency,immanence,alt_of,,0.0,OBSCURE
immobilisation,immobilization,alt_of,,1.63,RARE
immunisation,immunization,alt_of,UK,2.46,UNCOMMON
impendence,impendency,alt_of,,0.0,OBSCURE
impenitency,impenitence,alt_of,,0.0,OBSCURE
impermanency,impermanence,alt_of,,0.0,OBSCURE
imposter,impostor,alt_of,,2.88,UNCOMMON
incasement,encasement,alt_of,,0.0,OBSCURE
inclosure,enclosure,alt_of,,1.75,RARE
incumbrance,encumbrance,alt_of,,0.0,OBSCURE
individualisation,individualization,alt_of,UK,1.27,RARE
indorsement,endorsement,alt_of,,0.0,OBSCURE
indorser,endorser,alt_of,,0.0,OBSCURE
industrialisation,industrialization,alt_of,UK,2.7,UNCOMMON
inflator,inflater,alt_of,,1.92,RARE
inflexion,inflection,dated,UK,1.65,RARE
informercial,infomercial,alt_of,,1.17,RARE
initialisation,initialization,alt_of,UK,1.52,RARE
instalment,installment,australia,,3.04,FAMILIAR
internalisation,internalization,alt_of,UK,1.66,RARE
internationalisation,internationalization,alt_of,UK,2.15,UNCOMMON
interne,intern,alt_of,,1.86,RARE
intifadah,intifada,alt_of,,0.0,OBSCURE
intrenchment,entrenchment,alt_of,,0.0,OBSCURE
iodin,iodine,alt_of,US,0.0,OBSCURE
ionisation,ionization,alt_of,,2.0,UNCOMMON
ischaemia,ischemia,alt_of,UK,1.59,RARE
isomorphy,isomorphism,alt_of,,0.0,OBSCURE
itemisation,itemization,alt_of,UK,0.0,OBSCURE
jaggary,jaggery,alt_of,,0.0,OBSCURE
jagghery,jaggery,alt_of,,0.0,OBSCURE
jaguarondi,jaguarundi,alt_of,,0.0,OBSCURE
jailor,jailer,alt_of,,2.06,UNCOMMON
jak,jack,alt_of,,2.7,UNCOMMON
jeep,jeepney,alt_of,Australia,3.72,FAMILIAR
jehad,jihad,alt_of,,1.59,RARE
jessamine,jasmine,alt_of,,1.98,RARE
jeweller,jeweler,alt_of,,2.65,UNCOMMON
jewelry,jewellery,alt_of,US,4.12,COMMON
jinnee,jinni,alt_of,,0.0,OBSCURE
jinni,jinn,alt_of,,1.66,RARE
jiujitsu,jujitsu,alt_of,,1.84,RARE
jodhpur,jodhpurs,attributive,,2.59,UNCOMMON
judgement,judgment,alt_of,Commonwealth,3.86,FAMILIAR
jujutsu,jujitsu,alt_of,,1.99,RARE
jumbal,jumble,alt_of,,0.0,OBSCURE
junky,junkie,alt_of,,2.42,UNCOMMON
kabbalism,cabalism,alt_of,,0.0,OBSCURE
kabob,kebab,alt_of,US,1.88,RARE
kail,kale,alt_of,Scotland,2.22,UNCOMMON
kainogenesis,caenogenesis,alt_of,,0.0,OBSCURE
kalif,caliph,alt_of,,1.43,RARE
kaliph,caliph,alt_of,,0.0,OBSCURE
kaluresis,kaliuresis,alt_of,,0.0,OBSCURE
kampong,kampung,dated,,2.06,UNCOMMON
kanaf,kenaf,alt_of,,0.0,OBSCURE
kaoline,kaolin,alt_of,,0.0,OBSCURE
karabiner,carabiner,alt_of,,1.27,RARE
karat,carat,alt_of,US,2.63,UNCOMMON
kasbah,casbah,alt_of,,2.08,UNCOMMON
katabolism,catabolism,alt_of,,0.0,OBSCURE
katharsis,catharsis,alt_of,,1.06,RARE
kelpy,kelpie,alt_of,,0.0,OBSCURE
kelter,kilter,alt_of,UK;US,1.06,RARE
kenogenesis,caenogenesis,alt_of,,0.0,OBSCURE
keratinisation,keratinization,alt_of,,0.0,OBSCURE
kerb,curb,alt_of,UK,2.61,UNCOMMON
kerosine,kerosene,alt_of,,1.32,RARE
kerugma,kerygma,alt_of,,0.0,OBSCURE
khadi,khaddar,alt_of,,2.21,UNCOMMON
khalif,caliph,alt_of,,1.98,RARE
khalifah,caliph,alt_of,,1.69,RARE
khi,chi,alt_of,,1.97,RARE
kiddy,kiddie,alt_of,UK,2.45,UNCOMMON
kidnaper,kidnapper,alt_of,,0.0,OBSCURE
kildeer,killdeer,alt_of,,0.0,OBSCURE
kiley,kylie,alt_of,,2.36,UNCOMMON
kilometer,kilometre,alt_of,US,3.19,FAMILIAR
kinaesthesia,kinesthesia,alt_of,,0.0,OBSCURE
kinaesthesis,kinesthesis,alt_of,,0.0,OBSCURE
kindergartener,kindergartner,alt_of,,1.83,RARE
kinsfolk,kinfolk,alt_of,,1.43,RARE
kismat,kismet,alt_of,,1.13,RARE
kitambilla,ketembilla,alt_of,,0.0,OBSCURE
knobkerrie,knobkerry,alt_of,,0.0,OBSCURE
knockwurst,knackwurst,alt_of,,0.0,OBSCURE
koodoo,kudu,alt_of,,0.0,OBSCURE
kopeck,kopek,alt_of,,1.41,RARE
koppie,kopje,alt_of,,1.16,RARE
kor,cor,alt_of,,2.78,UNCOMMON
kos,coss,alt_of,,3.04,FAMILIAR
kotow,kowtow,alt_of,,0.0,OBSCURE
koudou,kudu,alt_of,,0.0,OBSCURE
kumis,koumiss,alt_of,,1.03,RARE
labor,labour,alt_of,US,4.77,COMMON
labourer,laborer,uk,,2.94,UNCOMMON
lachrymation,lacrimation,alt_of,,0.0,OBSCURE
laconicism,laconism,alt_of,,0.0,OBSCURE
lacrimator,lachrymator,alt_of,,0.0,OBSCURE
ladanum,labdanum,alt_of,,0.0,OBSCURE
laevulose,levulose,alt_of,,0.0,OBSCURE
lagend,lagan,alt_of,,0.0,OBSCURE
lagune,lagoon,dated,,1.04,RARE
lah,la,alt_of,,2.64,UNCOMMON
lamedh,lamed,alt_of,,0.0,OBSCURE
lammergeyer,lammergeier,alt_of,,0.0,OBSCURE
laniard,lanyard,alt_of,,0.0,OBSCURE
lansat,langsat,alt_of,,0.0,OBSCURE
lanseh,langsat,alt_of,,0.0,OBSCURE
largess,largesse,alt_of,,1.91,RARE
larvacide,larvicide,alt_of,,0.0,OBSCURE
lasagne,lasagna,british,,2.53,UNCOMMON
lateralisation,lateralization,alt_of,,0.0,OBSCURE
lathee,lathi,alt_of,,0.0,OBSCURE
lats,lat,alt_of,UK,2.26,UNCOMMON
launce,lance,alt_of,,0.0,OBSCURE
lavalliere,lavaliere,alt_of,,0.0,OBSCURE
lazarette,lazaret,alt_of,,1.04,RARE
leechee,litchi,alt_of,,0.0,OBSCURE
leitmotiv,leitmotif,alt_of,,1.37,RARE
lense,lens,alt_of,,2.28,UNCOMMON
leucaemia,leukemia,alt_of,,0.0,OBSCURE
leucocyte,leukocyte,alt_of,,1.18,RARE
leucopenia,leukopenia,alt_of,,0.0,OBSCURE
leucorrhea,leukorrhea,alt_of,,0.0,OBSCURE
leukaemia,leukemia,alt_of,Commonwealth,2.76,UNCOMMON
leukocytosis,leucocytosis,alt_of,,1.53,RARE
leukoma,leucoma,alt_of,,0.0,OBSCURE
leukotomy,leucotomy,alt_of,,0.0,OBSCURE
leveler,leveller,alt_of,American;US,1.9,RARE
lexicalisation,lexicalization,alt_of,,0.0,OBSCURE
liberalisation,liberalization,alt_of,UK,2.68,UNCOMMON
licenser,licensor,alt_of,,1.14,RARE
lichee,lychee,alt_of,,0.0,OBSCURE
lichi,lychee,alt_of,,0.0,OBSCURE
ligan,lagan,alt_of,,0.0,OBSCURE
linage,lineage,alt_of,,1.4,RARE
lingenberry,lingonberry,alt_of,,0.0,OBSCURE
linguini,linguine,alt_of,,1.87,RARE
lipaemia,lipemia,alt_of,,0.0,OBSCURE
lipidaemia,lipidemia,alt_of,,0.0,OBSCURE
lipide,lipid,alt_of,,0.0,OBSCURE
liquidiser,liquidizer,alt_of,UK,0.0,OBSCURE
lister,leister,alt_of,,3.11,FAMILIAR
litchee,lychee,alt_of,,0.0,OBSCURE
litchi,lychee,alt_of,,1.84,RARE
liter,litre,alt_of,US,3.46,FAMILIAR
litoral,littoral,alt_of,,1.38,RARE
litre,litter,alt_of,,3.5,FAMILIAR
loadstar,lodestar,alt_of,,1.18,RARE
loadstone,lodestone,alt_of,,1.16,RARE
localisation,localization,alt_of,,2.45,UNCOMMON
lodgement,lodgment,alt_of,UK,1.85,RARE
logginess,loginess,alt_of,,0.0,OBSCURE
loofa,loofah,alt_of,,1.47,RARE
looney,loony,alt_of,,3.0,FAMILIAR
louvre,louver,alt_of,UK,3.14,FAMILIAR
luffa,loofah,alt_of,,1.42,RARE
lungyi,lungi,alt_of,,0.0,OBSCURE
lustre,luster,uk,UK,2.97,UNCOMMON
lutanist,lutenist,alt_of,,0.0,OBSCURE
lutecium,lutetium,alt_of,,0.0,OBSCURE
lutfisk,lutefisk,alt_of,,0.0,OBSCURE
lymphangiectasis,lymphangiectasia,alt_of,,0.0,OBSCURE
lynchpin,linchpin,alt_of,,2.0,UNCOMMON
lyophilisation,lyophilization,alt_of,,0.0,OBSCURE
lysogenisation,lysogenization,alt_of,,0.0,OBSCURE
macintosh,mackintosh,alt_of,UK,3.1,FAMILIAR
mackle,macule,alt_of,,1.42,RARE
madame,madam,alt_of,,3.8,FAMILIAR
madrasah,madrasa,alt_of,,1.72,RARE
maffia,mafia,alt_of,,1.44,RARE
magilp,megilp,alt_of,,0.0,OBSCURE
magnetisation,magnetization,alt_of,UK,1.36,RARE
maharajah,maharaja,alt_of,,2.28,UNCOMMON
maharanee,maharani,alt_of,,0.0,OBSCURE
mahlstick,maulstick,alt_of,,0.0,OBSCURE
maiolica,majolica,alt_of,,1.26,RARE
maisonnette,maisonette,alt_of,,0.0,OBSCURE
malarky,malarkey,alt_of,,1.53,RARE
malemute,malamute,alt_of,,0.0,OBSCURE
malodour,malodor,alt_of,,0.0,OBSCURE
mandibula,mandible,alt_of,,0.0,OBSCURE
mandioc,manioc,alt_of,,0.0,OBSCURE
mandril,mandrel,alt_of,,1.01,RARE
maneuverability,manoeuvrability,alt_of,US,2.64,UNCOMMON
manioca,manioc,alt_of,,0.0,OBSCURE
manoeuvre,maneuver,commonwealth,,3.03,FAMILIAR
manoeuvrer,maneuverer,alt_of,,0.0,OBSCURE
