variant,canonical,verdict,note,variant_pos,variant_lemma,wikt_variant_kind,zipf,tier
queueing,queuing,spelling_pair,,VERB,queue,alt_of,2.64,UNCOMMON
raping,rapping,spelling_pair,,VERB,rape,alt_of,3.54,FAMILIAR
reprograming,reprogramming,spelling_pair,,VERB,reprogram,alt_of,0.0,OBSCURE
romanticising,romanticizing,spelling_pair,,VERB,romanticise,alt_of,1.59,RARE
roystering,roistering,spelling_pair,,VERB,royster,alt_of,0.0,OBSCURE
shoveling,shovelling,spelling_pair,,VERB,shovel,alt_of,2.78,UNCOMMON
smoldering,smouldering,spelling_pair,,VERB,smolder,alt_of,2.75,UNCOMMON
spiraling,spiralling,spelling_pair,,VERB,spiral,alt_of,2.87,UNCOMMON
stencilling,stenciling,spelling_pair,,VERB,stencil,alt_of,1.48,RARE
swiveling,swivelling,spelling_pair,,VERB,swivel,alt_of,1.98,RARE
swopping,swapping,spelling_pair,,VERB,swop,alt_of,0.0,OBSCURE
sympathising,sympathizing,spelling_pair,,VERB,sympathise,alt_of,1.93,RARE
syphoning,siphoning,spelling_pair,,VERB,syphon,alt_of,1.29,RARE
tabletting,tableting,spelling_pair,,VERB,tablet,alt_of,0.0,OBSCURE
tantalising,tantalizing,spelling_pair,,ADJ;VERB,tantalising,alt_of,2.31,UNCOMMON
taxying,taxiing,spelling_pair,,VERB,taxi,alt_of,0.0,OBSCURE
temporising,temporizing,spelling_pair,,VERB,temporise,alt_of,0.0,OBSCURE
theorising,theorizing,spelling_pair,,VERB,theorise,alt_of,2.02,UNCOMMON
tunnelling,tunneling,spelling_pair,,VERB,tunnel,alt_of,2.52,UNCOMMON
worshiping,worshipping,spelling_pair,,VERB,worship,alt_of,2.8,UNCOMMON
