word,zipf,n_senses,first_gloss
benching,2.37,1,An instance of a person being removed temporarily from an active role in a group or team activity.
kidderminster,2.37,1,A type of two-ply carpet.
linea,2.37,2,"Any long marking, dark or bright, on a planet or moon's surface."
cooldown,2.37,4,"The rest period between sets or workout sessions, when cooling of body temperature may occur."
platforming,2.37,2,The video game activity of jumping from one platform to another.
habanero,2.37,1,"An intensely spicy chili pepper, Capsicum chinense."
grampa,2.37,1,grandfather
oliva,2.37,1,olivary body
shota,2.37,2,"Hentai anime or manga, or other Japanese-inspired erotic art featuring young, usually prepubescent boys."
brownback,2.37,3,"A bird, the dowitcher or red-breasted snipe."
reframing,2.37,1,Framing anew or again.
mainstage,2.37,2,The largest performing space in a venue.
flava,2.36,1,flavor
screencap,2.36,1,A screenshot.
onsen,2.36,2,A (Japanese) hot spring.
dasha,2.36,1,"One of various systems of Hindu astrology based on planetary periods, in which these planetary periods have good or bad effects depending on their placement by sign, house, combinations with other pla"
natick,2.36,1,An intersection of two obscure crossword puzzle clues.
padawan,2.36,2,An apprentice or student Jedi.
bussy,2.36,4,A bus driver.
soler,2.36,1,One who fits the soles to shoes.
houlihan,2.36,1,A kind of lasso throw.
maslin,2.36,2,A mixture composed of different materials; especially:
hanif,2.36,1,"Any person, from before the time of Muhammad, who followed a non-pagan monotheistic religion."
kumari,2.36,1,A living goddess; a prepubescent girl worshipped as a manifestation of divine female energy.
janney,2.36,1,A mummer.
wideband,2.36,1,A communications transmission rate between that of narrowband and broadband.
aspartate,2.36,1,"The conjugate base of aspartic acid, or any salt or ester of it."
nightline,2.36,2,"An overnight telephone counselling service, typically for students."
morena,2.36,1,"Someone in authority, a master or leader, especially among Sotho-speakers."
binky,2.36,3,"A stuffed animal, pillow, blanket, or toy that a small child is more attached to than any other, and often sleeps with."
johar,2.36,1,The Rajput practice whereby women are sacrificed in a fire to avoid their being captured by an enemy.
tabula,2.36,7,A plate or frame on which a title or inscription is carved.
normie,2.36,3,"A normal person; one with commonly held, normative beliefs, neurology, tastes or interests."
ganache,2.36,3,"A rich sauce, made of chocolate and cream, used also as the filling of truffles, and as a glaze."
principia,2.36,1,First principles; elementary material.
tonka,2.35,1,"A flavoring or fragrance used in foodstuffs and perfumes, derived from the tonka bean which contains coumarin."
kettlebell,2.35,1,A weight consisting of a cast iron ball with a single handle for gripping the weight during exercise.
resveratrol,2.35,1,"A phenolic substance, 3,5,4'-trihydroxystilbene, a stilbenoid and phytoalexin, that is found in some fruits and nuts, and in red wine, and is reputed to have some beneficial properties for humans."
cooch,2.35,2,"The hootchy-kootchy, a type of erotic dance."
coppa,2.35,1,capicola
morita,2.35,1,A reddish-brown variety of chipotle.
rideau,2.35,1,"A fortification or barrier such as a small earthen mound or ridge, a file of troops, etc."
downloader,2.35,2,Someone who downloads files from the Internet.
dubbo,2.35,1,A foolish person.
barbera,2.35,1,"An Italian grape variety grown for use in red wine, or a wine made from such grapes."
holodeck,2.35,1,"A room that provides holographic simulations for recreation, training, etc."
linotype,2.35,2,A form of typesetting machine in which a complete line of characters is set at once.
rando,2.35,4,An arbitrary person with whom one has no shared social connection.
seahawk,2.35,2,A rapacious gull-like bird of the genus Stercorarius.
rashi,2.35,1,A zodiac sign.
fisheye,2.35,4,An unfriendly or suspicious glance.
jarrah,2.35,2,"A eucalypt tree of species Eucalyptus marginata, occurring in the southwest of Western Australia."
rebbe,2.35,2,The spiritual leader of a Hasidic Jewish community.
rocher,2.35,1,A quenelle (in the sense of food moulded into an elliptical shape) made using one spoon rather than two.
tartare,2.35,2,A foodstuff chopped fine and served raw.
licensor,2.35,1,A party that grants a license to another.
helio,2.35,1,A heliotrope (surveying instrument).
spiritus,2.35,3,A breathing.
ameen,2.34,1,"Any of various native Indian officials employed by the civil courts, for example to investigate accounts connected with a suit, to prosecute local enquiries of any kind bearing on a suit, to sell or t"
bomba,2.34,1,"A form of traditional drumming, and an associated form of dance, from Puerto Rico."
crossrail,2.34,2,A rail that goes across something.
dookie,2.34,3,"swimming costume, bathing suit"
jenkin,2.34,1,A narrow excavation driven through a pillar of coal.
replicator,2.34,2,"Something capable of self-replication, like a gene or meme."
rakhi,2.34,1,"An ornamental cotton wristband tied by a girl or woman on to the wrist of her brother, or of one who takes on the responsibilities of a brother, particularly during the Raksha Bandhan festival."
storer,2.34,2,One who lays up or forms a store.
manhunter,2.34,2,Someone who hunts down a target in a manhunt.
maron,2.34,1,An alpine guide.
sintering,2.34,1,A process in which the particles of a powder are welded together by pressure and heating to a temperature below its melting point.
rocksteady,2.34,1,A genre of Jamaican music somewhat slower than ska.
entendre,2.34,1,"A meaning, especially one that is implied rather than explicitly stated."
eastland,2.34,1,The eastern part of a geographic area; a land lying to the east.
objectifying,2.33,1,Objectification.
terraforming,2.33,1,"The hypothetical process of deliberately modifying the atmosphere, temperature, surface topography or ecology of a planet, moon, etc. to make it similar to those of Earth and thus suitable for human l"
conus,2.33,1,A cone.
mockumentary,2.33,1,A film or television programme presented as if it were a documentary but that is not factual and often a parody or satire.
riverwalk,2.33,1,"A pedestrian street or pathway alongside a river, providing a space for outdoor activity."
securitization,2.33,2,"The fact or process of securitizing assets; the conversion of loans into securities, usually in order to sell them on to other investors."
suman,2.33,1,"Rice cake from the Philippines made from glutinous rice cooked in coconut milk, usually eaten sprinkled with sugar or laden with latik."
medio,2.33,2,"A traditional Spanish unit of dry measure, equivalent to about 2.3 L."
lowrie,2.33,1,A fox.
skelly,2.33,3,A squint.
brack,2.33,4,Salty or brackish water.
soong,2.33,1,"In American Chinese cuisine, minced meat or vegetables."
harmer,2.33,1,One who harms.
khutor,2.33,1,A single-homestead rural settlement of Eastern Europe.
alanna,2.32,1,child
chana,2.32,2,A dish principally made from chickpeas or chickpea paste.
roading,2.32,2,The construction of roads.
rebounder,2.32,3,One who rebounds.
washi,2.32,1,A tough paper used in traditional Japanese art forms.
loong,2.32,1,A Chinese dragon.
vineland,2.32,1,land where vines are grown
minigame,2.32,1,"A small and simple game, especially an incidental game within a larger video game."
counterfactual,2.32,3,"A claim, hypothesis, or other belief that is contrary to the facts."
snowpack,2.32,1,"An accumulation of packed snow, usually the seasonal amount."
bardo,2.32,1,The state of existence between death and subsequent reincarnation.
storytime,2.32,1,The time at which a story is told.
hangul,2.32,2,The phonetic alphabet used to write the Korean language.
wireline,2.32,2,A wire that runs from a drill rig down into the drill hole to support a dead load or other downhole tool.
kitsune,2.32,1,"A Japanese fox spirit, often but not exclusively female, said to have powers such as shape-shifting, and whose power is symbolized by increase in number of tails."
olivet,2.32,1,An imitation pearl manufactured for trade with native peoples.
concessional,2.32,2,A resident of a nursing home who has limited means and whose accommodation is consequently partly paid for by the government.
tramadol,2.32,1,A synthetic opioid analgesic administered orally in the form of its hydrochloride C₁₆H₂₅NO₂·HCl to treat moderate to severe pain.
mancha,2.32,1,A high-quality grade of Spanish saffron.
grizz,2.32,1,A grizzly bear.
telos,2.32,1,"The aim, purpose, or end goal."
dinger,2.32,10,A bell or chime.
bygones,2.32,1,Things that happened in the past.
carfax,2.32,2,A junction of four roads.
chabot,2.31,1,"A kind of fish, mainly found on the coat of arms of the Chabot family (""or, three chabots gules"")."
yojana,2.31,1,"A Vedic unit of distance used in ancient India, believed to be approximately 6 to 15 kilometers (4 to 9 miles)."
banca,2.31,1,A canoe; an outrigger canoe or dugout.
grayscale,2.31,2,A printed strip of graduated tones used to check exposure and development times.
fayre,2.31,2,"A fair, a market."
mitty,2.31,1,The storm petrel.
electrodynamics,2.31,1,"The phenomena associated with moving electric charges, and their interaction with electric and magnetic fields; the study of these phenomena."
epipen,2.31,1,"An epinephrine/adrenaline autoinjector. A device designed to ease the symptoms of anaphylaxis/anaphylactic shock, so as to save the life of the victim of the extreme allergic reaction, by injecting a "
replanting,2.31,1,The planting of new plants to replace those that have been harvested.
replant,2.31,1,The act of planting again.
bioenergy,2.31,2,Energy produced from a biological resource such as biomass as biofuel.
sentai,2.31,1,"A Japanese military unit; a squadron, task force, group or wing."
carbo,2.31,1,carbohydrate
fuckface,2.31,1,An ugly or otherwise undesirable or annoying person.
upskirt,2.31,2,An image of this kind.
fusarium,2.31,1,"Any of various fungi, of the genus Fusarium, some of which are pathogenic to plants and animals."
doody,2.31,2,"Excrement, poop."
redrawing,2.31,1,A second or subsequent drawing
joanie,2.31,1,A small ornament of glass or china.
imani,2.31,1,faith (in the context of African-American culture)
whinge,2.31,2,A cry.
bromo,2.31,1,A dose of a proprietary sedative containing bromide (a bromo-seltzer).
slava,2.31,1,"The custom of honoring a family patron saint, celebrated chiefly by the Serbs, but also by some Macedonians, Montenegrins, Bulgarians and Gorani."
papillomavirus,2.31,2,Any of various viruses that cause warts.
parter,2.31,3,A work in a specified number of parts.
bukkake,2.31,2,"A method of pouring broth over cold noodles, commonly udon."
shimada,2.31,1,"A traditional type of formal hairstyle for unmarried women in Japan, whereby the hair is gathered together and fastened to the top of the head."
libero,2.31,2,"A central defender to whom no forward is assigned for marking, forming the last line of defence and often initiating the offensive play."
shoah,2.31,1,A mass murder.
khatib,2.3,1,A person who delivers the khutbah.
preselection,2.3,4,"The process by which a candidate for public office is selected, usually by a political party"
thurrock,2.3,1,"The hold of a ship; also, the bilge."
barrowman,2.3,2,"A putter: one who puts the tubs of coal from the workings to the cranes, flats, or stations, so that they can be conveyed to the surface."
parfum,2.3,2,Fragrance; perfume.
defunding,2.3,1,An instance of something being defunded; withdrawal of funds.
centrale,2.3,1,"The central, or one of the central, bones of the carpus or tarsus in most vertebrates. In the human tarsus it is represented by the navicular."
rehydration,2.3,1,The replenishment of water and electrolytes lost through dehydration.
gummi,2.3,3,"A sugary, gelatinous material used to make candies."
bilayer,2.3,1,Any structure consisting of two layers of molecules
gravesite,2.3,2,The location of a grave.
bahar,2.3,1,"A weight used in the 18th and 19th century in the Middle East and the East Indies, of no single standard but rather of varying sizes sometimes termed little bahars and great bahars."
castellano,2.3,2,"A traditional Spanish unit of mass, equivalent to about 4.8 g."
sammie,2.3,1,A sandwich.
shawarma,2.3,1,"A Middle Eastern sandwich-like wrap of shaved lamb, goat, chicken, turkey, beef, or a mixture of these."
shapeshifting,2.3,1,A change in shape; a transformation.
binning,2.3,5,"A data pre-processing technique in which original data values fall into a small interval (""bin"") and are replaced by a value representative of that interval, often the central value."
homesteading,2.3,2,"The act of appropriation of an unowned, scarce means, thereby gaining ownership of it; initial possession."
roshi,2.3,1,An elderly and revered Buddhist monk.
cabeza,2.29,1,"Beef cheek or similar meat, especially in Mexican cooking"
katsu,2.29,2,Panko breaded and deep-fried Japanese food
cowie,2.29,2,"A pill, especially of the drug ecstasy."
nazar,2.29,1,An eye-shaped amulet supposed to protect against the evil eye in certain cultures.
fretboard,2.29,1,"A fret or plate put over the neck of musical instruments or its fingerboard, to create a different sound of notes."
arusha,2.29,1,A fiber made from the plant Callicarpa candicans.
playability,2.29,2,The state or property of being playable.
dropship,2.29,1,"A flying transport that drops troops or equipment onto a planet, etc."
basti,2.29,1,A slum.
nasheed,2.29,1,"An Islamic musical composition, typically performed a cappella, focusing on religious, spiritual, or moral messages."
bachata,2.29,2,A genre of music originating in the Dominican Republic.
akuma,2.29,1,A Japanese demon.
fanservice,2.29,3,Elements added to a television program or similar entertainment that appeal to avid fans but are of little interest to outsiders.
blakey,2.29,1,A shoe protector (metal stud or plate affixed to the sole or heel of a shoe to prevent excessive wear).
eyeballing,2.29,2,An act of staring or ogling.
facemask,2.29,8,A covering used to protect or disguise the face.
pullen,2.29,3,domestic fowl; poultry
starrer,2.29,2,A film featuring a particular movie star.
superfan,2.29,1,An extremely dedicated fan (enthusiast).
memoria,2.29,1,One of the five canons of classical rhetoric: the discipline of memory and recall.
samaj,2.29,1,"A society, community or congregation, especially of the Brahmo Samaj."
erlang,2.29,1,A dimensionless statistical measure of the volume of telecommunications traffic relative to the capacity of a single channel.
ubiquitin,2.29,1,"Any of a class of small protein, or polypeptide, present in the cells of all eukaryotes, that play a part in modifying and degrading proteins."
ohana,2.29,1,An extended Hawaiian family unit.
tomoe,2.28,1,"A circular design of swirling water, commonly used in Japanese family crests and corporation logos."
limehouse,2.28,1,An oast house that uses a limekiln.
shoop,2.28,3,The fruit of the rose; rosehip.
jumbotron,2.28,1,"A very large video screen, typically used in a stadium or concert venue to show close-up shots."
partido,2.28,1,"A subdivision of the province of Buenos Aires, Argentina."
karoo,2.28,2,Any vast prairie bordering a desert.
preparer,2.28,1,"One who, or that which, prepares, fits, or makes ready."
shinigami,2.28,1,A deity and/or personification of death.
abbasi,2.28,4,"A silver coin of Persia, introduced by Safavid Shah Abbas in 16th century, worth about twenty cents."
krantz,2.28,1,An encircling or overhanging wall of rock.
frappuccino,2.28,1,"An iced coffee drink made with cappuccino blended with other ingredients, such as flavored syrups and whipped cream."
ratcheting,2.28,2,The act by which something is ratcheted.
funhouse,2.28,1,"A structure, usually at a circus or amusement park, enclosing several interactive attractions such as distorting mirrors, ramps, slides, stairs, rotating barrel slides, etc., that usually do not invol"
refactoring,2.28,1,An act or process in which code is refactored.
leatherhead,2.28,3,The friarbird.
codeword,2.28,3,A string representing an encoded piece of text.
globus,2.28,2,A spherical or nearly spherical structure.
bostock,2.28,1,"Stale brioche, spread with almond cream and sliced almonds and then baked"
overclocking,2.28,1,"An instance or incident of processor (CPU), or any electronic logic device, running at a speed higher than is recommended by the manufacturer."
gracilis,2.28,1,A slender superficial muscle of the inner thigh.
hydroxylase,2.28,1,Any of several enzymes that catalyze the oxidation of compounds by the introduction of hydroxyl groups.
cheval,2.28,2,A support or frame.
superyacht,2.28,1,A very large luxury yacht.
sanna,2.28,1,"A spongy steamed rice cake, popular in parts of India."
empath,2.28,2,Someone with an extraordinarily high capability of sensing the emotions of others.
millman,2.28,1,A male worker in a mill.
jacko,2.28,1,laughing kookaburra
bache,2.28,1,The dale of a stream or rivulet.
autoplay,2.28,2,"Any software feature that plays (a video, a compact disc, etc.) automatically."
metropole,2.28,3,A metropolis; the main city of a country or area.
metra,2.28,2,The uterus.
homecare,2.28,2,The care and maintenance of one's home.
changelog,2.28,1,"A log that records changes between versions, as in source control."
abaddon,2.28,1,An informer; a criminal who informs on other criminals to the authorities.
abuela,2.27,1,A Hispanic grandmother.
falciparum,2.27,1,The parasitic protozoan Plasmodium falciparum that causes falciparum malaria
swire,2.27,2,The neck.
meron,2.27,3,Either of the pair of entities that together make up an instanton.
meester,2.27,1,"Pronunciation spelling of mister, representing Latino- or French-accented English."
wonderwall,2.27,1,A very dependable person
throwdown,2.27,8,"A fall, indicating defeat."
darknet,2.27,1,"A network of computers that can only be accessed using special software, configuration, or authorization, usually characterized by the anonymization of users, participating hosts, or both."
sasse,2.27,1,"A sluice or lock, as in a river or canal, to make it more navigable."
soldado,2.27,1,"A soldier, in Spanish-speaking contexts."
photobook,2.27,1,"A book of photographs, often by a single photographer."
trackpad,2.27,1,touchpad
malbec,2.27,2,"A variety of grape used in making red wine, originally from France, but now predominantly grown in Argentina."
shabbos,2.27,1,Shabbat or shabbat (the biblical seventh-day Sabbath).
wythe,2.27,2,"A continuous vertical section of masonry, one unit in thickness."
ridesharing,2.27,1,"A form of commercial transportation in which, through social media, clients call a driver who privately owns his vehicle, and proceed in their trip as passengers."
bridgeman,2.27,1,A worker who operates a moving bridge.
manti,2.27,1,"A type of dumpling served in Turkish, Armenian and Central Asian cuisine."
matta,2.27,1,The false start of a bout due to mutual misunderstanding.
compostela,2.27,1,A certificate of accomplishment given to pilgrims on completing an official route on the pilgramage to Camino de Santiago.
qigong,2.27,1,"A Chinese system of breathing control, physical exercise and meditation."
photovoltaics,2.27,1,The technology of the conversion of sunlight into electricity using semiconductors that exhibit the photovoltaic effect.
councilmember,2.27,1,"A councilman or councilwoman; a member of a council, often a city council or town council."
spink,2.26,3,The chaffinch.
perkin,2.26,1,A kind of weak perry.
wagyu,2.26,2,Any of several Japanese breeds of cattle genetically predisposed to intense marbling and to producing a high percentage of oleaginous unsaturated fat.
kabuto,2.26,1,"A traditional Japanese military helmet, especially worn by samurai."
schelling,2.26,1,A silver coin formerly current in the Low Countries.
problema,2.26,1,A problem set forth in the Ancient Greek scholarly tradition.
geocaching,2.26,1,"A pastime in which participants use a GPS receiver to find a hidden container at a specific latitude and longitude, or to hide a container to be found in this manner."
manton,2.26,1,A shawl or wrap.
fasciitis,2.26,1,Inflammation of the fascia.
astin,2.26,1,Any of a group of cyclical pentapeptides originating from the plant Aster tataricus.
crema,2.26,2,"The light-colored, orangish head of foam on a cup of espresso."
entrainment,2.26,7,"Enthusiasm, liveliness; impulsiveness."
intermedia,2.26,1,"interdisciplinary activities between media, such as those between drawing and poetry, or between painting and theatre"
chama,2.26,2,Any of several types of informal cooperative society.
lycan,2.26,1,A werewolf.
viner,2.26,1,A winegrower.
refurb,2.26,2,a thing that has been refurbished
campervan,2.26,1,A vehicle that provides both transport and sleeping accommodation.
mazar,2.26,1,A mausoleum or shrine in the Arab world.
superseding,2.26,1,The process by which something is superseded.
zipline,2.25,2,"A pulley suspended on a cable mounted on an incline, designed to enable a user to travel from one point to another by means of gravity."
kermode,2.25,1,Kermode bear
firewire,2.25,2,A high-speed digital link standard covered by the IEEE 1394-1995 standard.
dryland,2.25,1,"Land that is arid, but not so dry as to be a desert."
mogwai,2.25,1,A kind of demon held to be harmful to humans.
modafinil,2.25,1,"A stimulant often used in the treatment of various sleep disorders, having the chemical formula C₁₅H₁₅NO₂S"
tante,2.25,1,A Jewish aunt.
silvana,2.25,1,"A Filipino dessert, a frozen cookie made from a layer of buttercream sandwiched between two cashew-meringue wafers coated with cookie crumbs."
kulkarni,2.25,1,A person in parts of India who was responsible for maintaining the accounts and records of a village.
azadi,2.25,1,"Freedom, independence."
campylobacter,2.25,1,Any bacteria of the genus Campylobacter; a principal cause of food poisoning.
callout,2.25,11,An outgoing telephone call.
ramage,2.25,4,"wildness, spirit, courage, ferocity"
whois,2.25,1,The WHOIS protocol or service.
ridder,2.25,2,a sieve
triphosphate,2.25,2,Any salt or ester containing three phosphate groups.
gigging,2.25,3,gerund of gig (in various senses).
domus,2.25,2,"A farmstead with its people, plants and animals, considered as a unit."
domina,2.25,3,The head of a nunnery.
parle,2.25,2,Parley; talk.
pinnock,2.25,2,"Prunella modularis, the dunnock."
hubba,2.25,2,A grain.
malley,2.25,1,A gardener.
machinima,2.25,2,"The rendering of computer-generated imagery using low-end (real time) 3D engines such as those found in video games, as opposed to the high-end, complex 3D engines used by professionals."
vicomte,2.25,1,A French viscount.
klang,2.25,1,"Any periodic sound, especially one composed of a fundamental and harmonics, as opposed to simple periodic sounds (sine tones)."
keirin,2.25,1,"A form of track cycling originating in Japan, where riders must initially race behind a motorised pace-setter, the derny."
thermite,2.25,1,"A mixture of a metal and a metal oxide capable of producing a thermite reaction, such as aluminium metal and ferric oxide; used in incendiary devices."
schreiner,2.25,1,An engraved roller used for schreinerizing textiles.
highline,2.25,1,An elevated slackline; a slackline which is mounted across a deep drop; a slackline that is strung up high.
abacha,2.24,1,"A Nigerian food made from dried shredded cassava with fish, eggs, spices, etc."
zahid,2.24,1,An ascetic.
shitbag,2.24,3,A colostomy bag.
creat,2.24,2,An usher to a riding master (riding instructor).
armbar,2.24,1,A joint lock where the elbow is hyperextended in order to cause pain or injury.
shahi,2.24,1,"A former currency unit of Iran, worth one twentieth of a qiran."
poonam,2.24,1,"A sari made of imported polyester, as opposed to a traditional cotton sari."
pinder,2.24,3,"A peanut, the nut-like pod containing the edible seed(s) of a leguminous plant."
phthalate,2.24,1,Any salt or ester of a phthalic acid.
wakeman,2.24,2,A watchman
halfling,2.24,3,A fictional small humanoid creature featuring in fantasy fiction; a hobbit.
sandhya,2.24,1,Morning or evening prayers.
glasser,2.24,3,A person who applies fibreglass and resin to a surfboard during its manufacture.
compensator,2.24,4,"A party or thing which compensates, pays or otherwise provides a compensation"
rehire,2.24,1,A former employee who has been hired again.
brickworks,2.24,1,"A place where bricks are manufactured, particularly organised as a factory."
francisca,2.24,1,A throwing axe used as a weapon during the Early Middle Ages by the Franks.
capitaine,2.24,1,A captain.
marra,2.24,1,"A friend, pal, buddy, mate."
comtesse,2.24,1,A French countess.
carnitine,2.24,1,"A betaine, 3-hydroxy-4-trimethylammonio-butanoate, that is found in the liver and has a function in fatty acid transport."
synthetase,2.24,2,Any enzyme that catalyzes the synthesis of a biological compound.
robusta,2.24,2,"Any plant of the species Coffea canephora of coffee plants, native to Africa, cultivated widely in Brazil."
dunder,2.24,3,"The lees or dregs of cane juice, used in the distillation of rum."
transversal,2.24,3,A line which traverses or intersects any system of other lines transversely.
teletype,2.24,3,"A telegraph that automatically prints transmitted messages in letters rather than Morse code or other symbols, typically resembling a typewriter in appearance."
khair,2.24,1,The tree Senegalia catechu from which cutch is obtained
keyring,2.24,2,"A ring, normally of metal or plastic, for holding keys together."
shinkansen,2.23,2,A Japanese high-speed railway line.
porteous,2.23,1,A portable breviary.
domme,2.23,1,A female dominant in a sadomasochistic relationship.
norovirus,2.23,1,"Norovirus, the genus of Norwalk virus, which causes gastric distress in humans."
taiko,2.23,3,"A traditional drum, beaten by yobidashi to announce the beginning of a tournament, and at the end of each day"
bokeh,2.23,1,A subjective aesthetic quality of out-of-focus areas of an image projected by a camera lens.
steelmaking,2.23,1,The manufacture of steel.
factbook,2.23,1,A book of facts.
tassie,2.23,3,A cup or goblet for drinking wine.
civitas,2.23,4,the social body of the citizens united by law
cisplatin,2.23,2,A platinum-containing antineoplastic drug cis-diamminedichloro-platinum(II) (Cl₂H₆N₂Pt) that is cytotoxic and is used especially in the treatment of testicular and ovarian tumors and advanced bladder 
choon,2.23,1,"A song or track, especially one that is catchy."
endocytosis,2.23,1,The process by which the plasma membrane of a cell folds inwards to ingest material.
frigidaire,2.23,1,Trademark for a refrigerator.
declutter,2.23,1,The act or process of removing clutter; a decluttering.
coppin,2.23,1,A cop of thread.
regula,2.23,2,A book of rules for a religious establishment.
superfly,2.23,2,"An ostentatious, self-confident person, especially a black drug dealer."
combinatorics,2.23,1,a branch of mathematics that studies (usually finite) collections of objects that satisfy specified criteria
aarti,2.23,1,"A particular Hindu prayer ritual, involving candles made from clarified butter."
kavya,2.23,2,A highly artificial Sanskrit literary style used by Indian court poets in the early centuries AD.
telenovela,2.23,1,A television soap opera presented as a miniseries.
soper,2.23,2,Methaqualone.
rakyat,2.23,2,An ordinary citizen.
overspend,2.23,1,The amount by which someone or something is overspent.
swaddling,2.23,2,The practice of wrapping infants in clothing that restricts movement.
underfunding,2.23,1,The condition of being underfunded.
headedness,2.23,1,The state or quality of having a particular type of head (in various senses).
basha,2.23,2,A tarpaulin or plastic waterproof sheet.
slopestyle,2.23,1,A discipline of freestyle skiing or snowboarding involving an obstacle course.
erythematosus,2.23,1,An eruption of red lesions.
casco,2.23,1,"A flat-bottomed, square-ended boat once used in the Philippines as a lighter to ferry goods between ship and shore"
roker,2.23,1,The thornback ray.
andro,2.22,2,"A Meitei traditional type of alcoholic beverage or drink, originated from Andro village, Manipur, India."
grenache,2.22,1,"A specific, widely-planted variety of red wine grape, or a wine made from such grapes."
vipassana,2.22,1,"Insight into the true nature of reality, namely as the three marks of existence: impermanence, suffering or unsatisfactoriness, and the realisation of nonself."
minny,2.22,1,A minnow.
vivant,2.22,1,"In mort, bridge, and similar games, the partner of dummy."
jaish,2.22,1,An army or legion.
workgroup,2.22,2,A group of workers engaged in a series of collaborative tasks who usually work together.
katha,2.22,3,The recitation of a Hindu religious story.
ralphie,2.22,1,A scruffy school child.
malate,2.22,1,Any salt or ester of malic acid.
yarborough,2.22,1,"A hand, in bridge or whist, that has no card with a value greater than nine (and no aces), though in some circles it is no card above a ten."
safehouse,2.22,1,"A secure location, known to only a few trusted people, suitable for hiding witnesses, agents or other persons perceived as being in danger."
strategizing,2.22,1,The formulation of a strategy.
brumby,2.22,1,A wild or feral horse.
carib,2.22,1,A hummingbird of the genus Eulampis.
traduction,2.22,4,The act of converting text from one language to another.
bhatti,2.22,1,An oven.
fleshlight,2.22,1,"A vagina-, anus-, or mouth-shaped sex toy which is designed to stimulate and fit around the penis to aid masturbation."
diethyl,2.22,1,Two ethyl groups attached to the same molecule.
megaman,2.22,1,A very large or powerful man.
podge,2.22,2,A fat person.
lambie,2.22,1,A lamb.
carlito,2.22,1,A Philippine tarsier (Carlito syrichta).
espace,2.22,1,space.
testbed,2.22,1,"Any platform used for testing a scientific theory, computational tool or new technology."
autosport,2.22,1,motorsport
towie,2.21,1,A tow truck.
preprint,2.21,1,A preliminary form of an academic paper that has not yet been published in a journal.
aversive,2.21,2,A grammatical case indicating that something is avoided or feared; the evitative case.
tamas,2.21,1,"One of the three gunas in Hindu philosophy, representing things that are inert, resistant, or dark and destructive."
choreo,2.21,1,choreography
blackwall,2.21,1,A tyre/tire with black sidewalls.
bluey,2.21,11,The metal lead.
grigio,2.21,1,A Pinot Grigio wine.
ragdoll,2.21,3,A modern American breed of domestic cat with a longhair colourpoint coat that relaxes completely when picked up.
recommit,2.21,1,A second or subsequent commit.
bogue,2.21,2,A species of seabream fish native to the eastern Atlantic (Boops boops).
haver,2.21,5,The cereal grain of cultivated oats (Avena sativa).
laika,2.21,1,A type of hunting dog from Russia.
supercomputing,2.21,1,The design and use of supercomputers.
chargeback,2.21,2,"A reversal of an accounting entry, especially of a disputed credit card transaction."
integrin,2.21,1,Any of many heterodimeric transmembrane proteins that function as receptors in communication between cells.
marling,2.21,1,"An application of marl to the soil, to aid agriculture."
carden,2.21,1,"A garden grown inside of a car, usually in the dashboard."
texturing,2.21,1,The application of a texture to something.
bando,2.21,4,"A Welsh team sport related to hockey, hurling, shinty, and bandy."
baseband,2.21,3,The frequency range occupied by a message signal prior to modulation.
cornhole,2.21,3,A small room connected to a threshing floor.
marga,2.21,4,"The canon of established forms of classical music, dance etc., as opposed to modern or regional developments."
rasul,2.21,2,"A prophet or messenger in Islam; Muhammad, as a special messenger of God."
buprenorphine,2.21,1,A semisynthetic narcotic analgesic that is administered in the form of its hydrochloride C₂₉H₄₁NO₄·HCl to control moderate to severe pain and treat opioid dependence.
thana,2.21,3,A military outpost.
lawyering,2.21,1,The practicing of law as a profession; being a lawyer.
ghazal,2.21,1,"A poetic form mostly used for love poetry in Middle Eastern, South, and Central Asian poetry."
gazzetta,2.21,1,"An old Venetian coin, equal to a halfpenny."
ruckman,2.21,1,A ruck; a player who contests rucks.
dagmar,2.21,1,"One of the bullet-shaped protrusions on the bumpers of various 1950s cars, especially Cadillacs."
corrin,2.21,1,A molecular species that contains four reduced pyrrole rings joined in a macrocycle by three -CH= groups and one direct bond; central to the cobalt-containing vitamin cobalamin.
afrobeat,2.21,1,"Music that combines West African musical styles (such as traditional Yoruba music and highlife) with American funk, jazz, and soul influences, with a focus on chanted vocals, complex intersecting rhyt"
strikeforce,2.21,2,A group in an organization such as the police or the army that has been trained especially for dealing with serious and urgent threats.
cyclo,2.21,2,A tuk-tuk.
trompe,2.21,2,A trumpet; a trump.
motorhead,2.2,2,"A car, truck, or motorcycle enthusiast."
teleporter,2.2,3,A person who teleports.
kittel,2.2,1,"A white linen or cotton robe worn by religious Ashkenazi Jews on holidays, in the synagogue, or at home when leading the Passover seder."
cuatro,2.2,1,Any of several stringed instruments of Latino origin; a Venezuelan ukulele-like instrument with four strings; a Puerto Rican violin-like instrument with ten strings in five courses (most commonly).
gelder,2.2,1,One who gelds or castrates.
pahlavi,2.2,1,The principal gold coin of the Pahlavi dynasty (1925–1979).
iftar,2.2,1,"The evening meal that breaks each day's fast during Ramadan, traditionally beginning with dates and water."
homocysteine,2.2,1,An amino acid which is monitored in the blood to estimate risk of cardiovascular disease.
stoping,2.2,1,"The removal of the desired ore from an underground mine, leaving behind an open space known as a stope."
delisting,2.2,1,Formal removal from an official list.
