word,zipf,countable,uncountable,n_senses,first_gloss
barry,4.26,0,0,1,"A field divided transversely into several equal parts, and consisting of two different tinctures interchangeably disposed."
ted,4.26,0,0,1,A Teddy boy.
roy,4.25,0,0,1,A king.
ye,4.25,0,0,1,"The Cyrillic letter Е, е, featured in various Slavic and Turkic languages."
municipal,4.24,0,0,1,"A financial instrument issued by a municipality (e.g., municipal bonds)."
laura,4.24,0,0,2,A number of hermitages or cells in the same neighborhood occupied by anchorites who were under the same superior
steven,4.24,0,0,3,"Voice, especially when loud or strong."
carl,4.24,0,0,2,"A rude, rustic man; a churl."
emma,4.23,0,0,1,M in RAF phonetic alphabet
casual,4.23,0,0,9,"A worker who is only working for a company occasionally, not as its permanent employee."
ron,4.22,0,1,1,heroin
th,4.2,0,0,1,Abbreviation of table header.
sc,4.18,0,0,4,Initialism of softcover.
craig,4.18,0,0,1,A rocky crag.
madison,4.17,0,0,2,"A track cycling relay race in which team members take turns while racing round the track for the largest number of laps, and exchange places with a team mate by means of a touch, which may be a push o"
jake,4.17,1,1,5,A juvenile male turkey.
mps,4.16,0,0,1,Initialism of meter per second.
vincent,4.14,0,0,1,"The victim or dupe in a betting game, especially bowls."
norman,4.14,0,0,2,"A wooden bar, or iron pin."
um,4.13,0,0,1,"An occurrence of the interjection ""um""."
aw,4.13,0,0,1,An instance of aw.
juan,4.12,0,0,1,"A scroll of a traditional Chinese book, often (but not necessarily) corresponding to a single chapter or fascicle."
ralph,4.1,0,0,1,A raven.
vi,4.09,0,0,1,"Initialism of verb intransitive or intransitive verb, often in dictionaries."
fr,4.09,0,0,1,Alternative letter-case form of FR (“friend request”).
influential,4.09,0,0,1,A person who has influence
intel,4.07,0,1,1,Intelligence (secret information).
ethical,4.07,0,0,1,"An ethical drug, one only dispensed on the prescription of a physician."
ellen,4.05,0,1,3,Zeal.
lgbt,4.04,0,0,1,Alternative letter-case form of LGBT.
pt,4.04,1,1,5,"Initialism of physical training, a physical education class in grade school."
jo,4.03,0,0,2,"Darling, sweetheart."
ta,4.02,0,1,1,"In solfège, the lowered seventh note of a major scale (the note B-flat in the fixed-do system): te."
au,4.02,0,0,5,Abbreviation of atomic unit.
karl,4.0,0,0,1,A medieval Scandinavian freeman.
mc,4.0,0,0,3,Abbreviation of madarchod.
chan,4.0,0,0,4,An IRC channel.
neo,3.99,0,0,5,Clipping of neofan.
claire,3.98,0,0,1,A small enclosed pond used for gathering and greening oysters.
jin,3.98,0,0,2,Alternative spelling of jinn.
cohen,3.98,0,0,1,"A Jewish priest: direct male descendant of the Biblical high priest Aaron, brother of Moses."
han,3.93,0,1,1,"Sorrowful resentment, as a part of the Korean cultural identity."
es,3.93,0,0,3,"Alternative form of ess (the name of the Latin script letter S/s) in compounds such as ""es-hook""."
alot,3.93,0,1,1,Alternative form of a lot.
ni,3.93,0,0,1,Initialism of noun inanimate.
yay,3.92,0,1,1,Cocaine (powder or crack).
verbal,3.91,1,1,3,"A verb form which does not function as a predicate, or a word derived from a verb. In English, infinitives, participles and gerunds are verbals."
tel,3.9,0,0,4,Abbreviation of telephone number.
aye,3.89,0,0,1,An affirmative vote; one who votes in the affirmative.
sd,3.89,0,0,1,Alternative letter-case form of SD (“standard deviation”).
td,3.89,0,0,1,"Abbreviation of table data (standard cells that contains data, no table headers)."
willie,3.89,0,0,1,Alternative spelling of willy
rex,3.89,0,0,2,"A king, particularly in ancient Rome."
gf,3.88,0,0,1,Alternative letter-case form of GF (“girlfriend”).
sf,3.88,0,0,2,Alternative form of SF (science fiction)
prospective,3.87,0,0,3,"The scene before or around, in time or in space; view; prospect."
