word,zipf,countable,uncountable,n_senses,first_gloss
ber,2.85,0,0,1,A fruit-bearing tree (Ziziphus mauritiana); Indian jujube.
salesforce,2.85,0,0,1,A team of salespeople.
homeschool,2.85,1,1,2,"A school within a private domestic place, rather than in a public facility or private institution."
fae,2.85,1,1,1,Alternative spelling of fey (“fairy folk”).
litchfield,2.85,0,0,1,Alternative spelling of lichfield.
claustrophobic,2.85,0,0,1,Someone with claustrophobia.
cig,2.85,0,0,1,Cigarette.
overthinking,2.85,1,1,1,The act of thinking too much about something.
cotta,2.85,0,0,3,"A surplice, in England and America usually one shorter and less full than the ordinary surplice and with short sleeves, or sometimes none."
aggie,2.85,1,1,3,"Marble or a marble made of agate, or one that looks as if it were made of agate."
biennale,2.85,0,0,1,A biennial celebration or exhibition
sparky,2.85,0,0,2,A radio operator.
stillwater,2.85,0,1,1,Alternative form of still water.
multiverse,2.85,0,0,3,"The world, considered as lacking in purpose, design, or predictability."
shitload,2.84,0,0,1,A large amount.
const,2.84,0,0,1,A variable whose value cannot be changed directly.
nur,2.84,0,0,1,Pronunciation spelling of knur.
ssa,2.84,0,0,1,Filter-avoidance spelling of ass
parametric,2.84,0,0,1,A parametric equation.
chipper,2.84,0,0,10,Someone who or something which chips (e.g. wood).
dpi,2.84,0,1,1,Initialism of dots per inch.
donner,2.84,0,0,1,One who dons (something).
pedo,2.84,0,0,1,Alternative spelling of paedo (“pedophile”).
ure,2.84,0,1,2,"Use, practise, exercise."
tween,2.84,0,0,3,An action of tweening (inserting frames for continuity); a sequence of frames generated by tweening.
mentorship,2.84,1,1,1,The role or state of being a mentor.
laker,2.84,0,0,3,One engaged in sport; a player; an actor.
biodegradable,2.84,0,0,1,Any material that can be decomposed by biological activity.
wonky,2.84,0,1,1,"A subgenre of electronic music employing unstable rhythms, complex time signatures, and mid-range synths."
grundy,2.84,0,0,3,A narrow-minded person or group that is overly concerned with censoring or criticizing personal conduct.
pornstar,2.84,0,0,1,Alternative form of porn star.
winkler,2.84,0,0,1,One who finds and sells winkles.
veritas,2.84,1,1,1,"Truth, particularly of a transcendent character."
mashup,2.83,0,0,4,Something consisting of two or more elements combined together.
dipshit,2.83,0,0,1,"A stupid, obnoxious, or undesirable person."
okada,2.83,0,0,1,A motorcycle taxi.
pandit,2.83,0,0,1,An honorary title for a learned man or scholar.
ped,2.83,0,0,6,A pedestrian.
popeye,2.83,1,1,2,Exophthalmia.
bilbo,2.83,0,0,2,A device for punishment. See bilboes.
rainer,2.83,0,0,1,"That which rains, or dispenses something in a shower."
katana,2.83,0,0,1,"A type of Japanese longsword, having a single edge and slight curvature, historically used by samurai and ninja."
girlie,2.83,0,0,3,A magazine targeting an adult male audience and containing nude or seminude photographs of women.
underweight,2.83,1,1,3,The state or quality of being underweight.
insoluble,2.83,0,0,1,Any substance that cannot be dissolved.
psychoactive,2.83,0,0,1,Any drug that affects the mind or mental processes.
fac,2.83,0,0,2,"A factotum letter, or a similar kind of ornamentally bordered letter formerly used at the start of a chapter or section of a book."
eastside,2.83,0,0,1,The east side of a district or city.
scifi,2.83,0,1,1,Alternative form of sci-fi.
spacer,2.83,0,0,6,"An object inserted to hold a space open in a row of items, e.g. beads or printed type."
sona,2.83,0,0,2,Clipping of fursona.
kyu,2.83,0,0,1,"A grade or rank in various Japanese activities such as martial arts, flower arranging, and the game of go."
tillman,2.83,0,0,1,A man who tills the earth; a husbandman.
fanart,2.83,0,1,1,Artwork created unofficially by fans of a media work and based on that work.
receivable,2.82,0,0,2,"A debt owed, usually to a business, from the perspective of that business."
robocop,2.82,0,0,1,A cyborg police officer.
jud,2.82,0,0,1,A mass of coal holed or undercut so as to be thrown down by wedges.
getter,2.82,0,0,4,"One who, or that which, gets."
chara,2.82,0,0,2,A green alga of the genus Chara.
breastfeed,2.82,0,0,1,An instance of feeding milk to a baby from the breasts; a breastfeeding.
serrano,2.82,0,0,2,"Ellipsis of serrano pepper, a chili pepper, a cultivar of Capsicum annuum which originated in the mountainous regions of the Mexican states of Puebla and Hidalgo and is used in cooking."
addy,2.82,0,0,2,Address (especially e-mail address).
zika,2.82,0,1,2,The disease caused by the Zika virus.
summa,2.82,0,0,2,"A comprehensive summary of, or treatise on a subject, especially theology or philosophy."
jacky,2.82,1,1,2,A sailor.
pelham,2.82,0,0,1,"A type of bit used on the bridle of a horse, consisting of a mouthpiece, a shank, and two rings on each side."
oni,2.82,0,0,1,A Japanese evil spirit or demon.
liber,2.82,1,1,2,phloem
lymphatic,2.82,0,0,1,A vessel that transports lymph.
ele,2.82,0,0,1,Elephant.
mds,2.82,0,1,1,"Abbreviation of merchandise and related forms of that word (merchandising, merchandised, merchandiser, etc.)"
subtext,2.82,1,1,1,"An implicit meaning of a text, often a literary one, or a speech or dialogue."
pogo,2.82,0,0,5,A dance associated with the 1970s punk rock movement in which participants jump up and down on the spot in the manner of someone riding a pogo stick.
tana,2.82,0,0,2,Alternative form of thana.
mercurial,2.82,0,0,4,"Any of the plants known as mercury, especially the annual mercury or French mercury (Mercurialis annua)."
ess,2.82,0,0,2,The name of the Latin script letter S/s.
chugging,2.82,0,0,1,The sound of something that chugs.
lanier,2.82,0,0,2,A leather thong.
kana,2.82,0,0,2,"The hiragana and katakana syllabaries. These are made up of characters that represent individual syllables, which are used to write Japanese words and particles. Kana are derived from kanji."
roleplay,2.82,1,1,2,The act or practice of roleplaying; an instance of roleplaying.
ugg,2.82,0,0,2,ugg boot
prefrontal,2.82,0,0,1,"A prefrontal bone, scale, etc."
fanfiction,2.82,1,1,1,Alternative form of fan fiction.
puri,2.82,1,1,2,"A type of unleavened bread from India and Pakistan, usually deep-fried."
needham,2.81,0,0,1,"A dessert bar made from sugar, chocolate, coconut, and potato, chiefly made and consumed in Maine in the US."
bubblegum,2.81,1,1,3,"A sweet, stretchable chewing gum designed for blowing bubbles."
pawnee,2.81,0,0,1,One or to whom a pledge is delivered as security one who takes anything in pawn.
catwoman,2.81,0,0,1,A woman in a cat costume.
ozzie,2.81,0,0,1,A hospital.
dancehall,2.81,1,1,2,A public hall for dancing.
citywide,2.81,0,0,1,A combined order of a shot of distilled spirit (especially bourbon) and an order of beer
subtype,2.81,0,0,2,"A group of specific things within a larger, more general group."
sala,2.81,0,0,5,A large hall or reception room.
moly,2.81,1,1,4,A magic herb or plant used by Odysseus to overcome Circe.
midlife,2.81,0,0,1,The middle period of one's life.
merc,2.81,0,0,1,A mercenary.
pon,2.81,0,0,1,A call for forming a set of three identical tiles using a discarded tile.
teflon,2.81,0,1,1,"Synonym of polytetrafluoroethylene, PTFE."
beastie,2.81,0,0,1,"Beast, animal."
facetime,2.81,0,1,1,Alternative form of face time.
topshop,2.81,0,0,1,"A building found in parts of the English Midlands, having three storeys, the lower two serving as living accommodation and the upper floor as a workshop containing a weaver's loom."
tonya,2.81,0,0,1,"A trade broker in Japan, usually a wholesaler, warehouse manager, or shipment manager."
trifecta,2.81,0,0,4,A bet in which the bettor must select the first three placegetters of a race in the order in which they finish.
latimer,2.81,0,0,1,Synonym of interpreter.
vertebral,2.81,0,0,1,Any of the large dorsal scales along the top of a snake's back.
kagan,2.81,0,0,1,Alternative spelling of khagan.
fina,2.81,0,1,1,Clipping of finasteride
foy,2.81,1,1,2,"Faith, allegiance."
rewatching,2.81,0,0,1,The act of watching something again.
holo,2.81,0,0,1,A hologram.
chee,2.81,0,0,2,Synonym of mace (“old Chinese unit of weight”).
raya,2.81,0,0,2,"A former territory of the mediaeval principalities of Wallachia and Moldavia held under the direct administration of the Ottoman Empire, as opposed to the principalities."
resetting,2.81,0,0,1,The act by which something is reset.
cashback,2.81,0,1,1,Alternative spelling of cash-back.
aah,2.81,0,0,3,"Expression of amazement, surprise, enthusiasm, or fear."
simi,2.8,0,0,1,A short sword or dagger used by the Kikuyu people.
spooner,2.8,0,0,2,One who spoons; one who engages in spooning.
redistricting,2.8,0,0,1,An instance of adjusting the borders that delineate districts.
airbase,2.8,0,0,1,Alternative spelling of air base.
paloma,2.8,0,0,1,"A cocktail made with tequila, lime juice, and grapefruit soda."
dermal,2.8,0,0,1,A body piercing consisting of an object positioned partially below and partially above the skin.
screenwriting,2.8,1,1,2,The art of writing screenplays.
tama,2.8,0,0,1,"A form of votive offering in the Eastern Orthodox Church, particularly the Greek Orthodox Church, usually in the form of a small metal plaque with an embossed image symbolizing the subject of prayer f"
duc,2.8,0,0,1,A French duke.
bullseye,2.8,0,0,15,"The centre of a target, inside the inner and magpie."
belcher,2.8,0,0,2,Someone who belches.
lobo,2.8,0,0,1,A wolf.
ryo,2.8,0,1,1,"An anhemitonic pentatonic scale used in a Japanese Buddhist chant, and built up by intervals of major second, major second, minor third, major second, minor third."
executable,2.8,0,0,1,A file that can be run directly by a computer's hardware or a p-code interpreter with no further processing.
kata,2.8,0,0,5,Any of a sequence of positions and movements used in many martial arts.
tylenol,2.8,1,1,2,The pharmaceutical drug acetaminophen (“paracetamol”).
chucky,2.8,0,0,3,chicken
puny,2.8,0,0,5,"An inferior person; a subordinate; also, an insignificant person."
fnc,2.8,0,0,2,Initialism of forum non conveniens.
walkthrough,2.8,0,0,5,"A tour of a space, such as a property for sale or rent."
hairspray,2.8,1,1,1,Alternative form of hair spray.
gonzo,2.8,1,1,2,Gonzo journalism or a journalist who produces such journalism.
aam,2.79,0,0,1,"A Dutch and German measure of liquids, used in England for Rhine wine, varying in different cities, being in Amsterdam about 41 wine gallons, in Antwerp 36½, and in Hamburg 38¼."
sherpa,2.79,1,1,3,"A local mountain guide or porter, particularly a male of the Nepalese Sherpa people so employed."
shanti,2.79,0,1,1,"Peace, tranquility."
reseller,2.79,0,0,1,A company or individual that purchases goods or services with the intention of reselling them rather than consuming or using them.
sor,2.79,0,0,1,A sorority (student organization).
bitty,2.79,0,0,1,Alternative form of bittie.
bonham,2.79,0,0,1,A piglet.
kevlar,2.79,1,1,2,"(Fabric, cordage, etc made of) aramid fiber, an exceptionally strong, light, man-made fibre used to strengthen cables and sheet materials, e.g. in stab-resistant vests."
rockland,2.79,0,0,1,A rocky landscape.
desai,2.79,0,0,1,"In west and south India, a native official in charge of a district, often held by heredity; a petty chief."
mondo,2.79,0,0,1,A dialogue between master and student designed to obtain an intuitive truth.
amma,2.79,0,0,2,mother
hoyer,2.79,0,0,1,"A device for transferring a person with serious mobility issues to and from the floor, a mobility device (such as a wheelchair), seating, and a bed."
sud,2.79,0,0,1,A bubble of lather or foam (the singular of suds).
sulu,2.79,0,0,1,An all-purpose skirt-like garment worn by men and women in Fiji.
majid,2.79,0,0,1,Any of the family Majidae of sea spiders or spider crabs.
phat,2.79,0,1,1,An English trick-taking partnership card game descended from the game of all fours.
tion,2.79,0,0,1,A cross between a male tiger and a lioness.
rapunzel,2.79,0,1,2,"A plant with leaves and crisp roots which have been used in salads, rampion, Campanula rapunculus."
mattie,2.79,0,0,1,Alternative form of matie (“herring”).
betta,2.79,0,0,1,"Any fish of the genus Betta, especially Betta splendens (the Siamese fighting fish)."
poolside,2.79,0,0,1,The area beside a pool.
coaxial,2.79,0,0,1,Ellipsis of coaxial cable.
fap,2.79,1,0,2,A session of masturbation.
aureus,2.79,0,0,1,"A gold coin, minted in the Roman Empire from approximately 100 B.C.E. to 309 C.E., equal to 25 denarii."
whoo,2.79,0,0,1,"A ""whoo"" sound; the cry of an owl or similar."
witcher,2.79,0,0,3,A dowser.
neverland,2.79,0,0,1,"An ideal, fantastical, imaginary, or dreamlike place."
ordinator,2.79,0,0,1,One who ordains or establishes; a director.
glyn,2.79,0,0,1,"A valley in a mountain area, especially one with a stream in the bottom."
uncool,2.79,0,1,1,The quality of being uncool.
bute,2.79,0,1,1,Phenylbutazone.
feta,2.79,1,1,1,A variety of curd cheese made from sheep’s or goat’s milk and originating from Greece.
auguste,2.79,0,0,1,"A kind of clown, usually serving as an anarchic foil to the whiteface."
wook,2.78,0,0,1,"An unwashed, unemployed moocher who enjoys traveling to festivals and crashes at other people's houses."
onside,2.78,0,0,2,"The portion of the playing area where one can legally play the ball, puck, etc."
hj,2.78,0,0,1,Initialism of hand job.
moser,2.78,0,0,1,An informer; one who tells on another.
parietal,2.78,0,0,4,"Either of the two parietal bones, on the top and side of the skull."
ender,2.78,0,0,2,Something which ends another thing.
tig,2.78,0,0,3,A light touch; a tap or pat.
electronica,2.78,0,1,3,Any of a wide range of electronic music genres.
pippin,2.78,0,0,5,A seed.
bcc,2.78,0,0,1,Initialism of blind carbon copy.
dor,2.78,0,0,3,Any of species Geotrupes stercorarius of large European dung beetles that make a droning noise while flying.
sativa,2.78,0,1,1,"Cannabis sativa, a widely consumed form of cannabis."
malkin,2.78,0,0,6,A (stereotypical name for a) lower-class or uncultured woman; a kitchenmaid; a slattern.
mim,2.78,0,0,1,Alternative form of meem (“Arabic letter”).
merci,2.78,0,0,1,An extra card or set of cards that is allowed to play at the end of various card games.
nang,2.78,0,0,1,"A metal bulb filled with nitrous oxide gas, inhaled for its disassociative effects, normally intended as a propellant for whipped cream."
defenceman,2.78,0,0,1,"In ice hockey and lacrosse, a player position with a primary responsibility to prevent the opposing team from scoring goals; same as defender in many other ballgames."
wham,2.78,0,0,4,A forceful blow.
bruv,2.78,0,0,1,"Brother, mate, friend."
moab,2.78,0,0,1,Alternative form of MOAB.
transgenic,2.78,0,0,1,An organism whose genome has been genetically modified.
virtualization,2.78,0,0,2,The act of virtualizing.
vk,2.78,0,0,1,Abbreviation of votekick.
kickstart,2.78,0,0,1,Alternative form of kick start.
eyewear,2.78,0,1,1,"A vision aid or similar device worn over the eyes, such as eyeglasses, contact lenses, or protective goggles."
lapis,2.78,0,1,1,Ellipsis of lapis lazuli.
popup,2.78,0,0,1,Alternative form of pop-up.
isu,2.78,0,0,1,An individual seat in the loft-like balcony of a sumo arena.
interstitial,2.78,0,0,2,"A web page, usually carrying advertising, displayed when leaving one content page for another."
jeju,2.78,0,0,1,"A South American (Amazonian) erythrinid fish, Hoplerythrinus unitaeniatus (formerly sometimes Erythrinus unitaeniatus)."
jizz,2.78,0,1,2,"The physical and behavioural characteristics of a bird that enable it to be immediately recognised by an experienced birder as a certain type of bird, especially to family or genus level."
px,2.78,0,0,1,Abbreviation of pixels.
joshi,2.78,0,1,2,Japanese women's professional wrestling
yue,2.78,0,0,2,"An ancient Chinese unit of volume, notionally equivalent to the space occupied by 1200 millet seeds."
gelato,2.78,0,1,1,"An Italian variant of ice cream made from milk and sugar, combined with other flavourings. The ingredients are supercooled while stirring to break up ice crystals as they form."
gaylord,2.78,0,0,4,Synonym of gay: a homosexual man.
caudal,2.78,0,0,1,A caudal vertebra.
abo,2.77,0,0,1,An Aboriginal person.
globalist,2.77,0,0,3,An advocate of globalism.
pushback,2.77,1,1,6,"The act of repelling an enemy, etc."
chica,2.77,0,1,2,A Latin-American girl; a Latina.
opie,2.77,0,0,1,Short for opilio crab.
dap,2.77,0,0,5,A plimsoll.
spitzer,2.77,0,0,1,A pointed bullet.
asf,2.77,0,1,1,"Initialism of age-sex-from: what is your age, what sex are you, and where are you from?"
rog,2.77,1,1,3,Intoxication through freebasing.
baillie,2.77,0,0,2,The jurisdiction of a bailie or bailiff; a bailiwick.
tui,2.77,0,0,1,"A species of honeyeater, Prosthemadera novaeseelandiae, a bird which is endemic to New Zealand."
twerking,2.77,0,1,2,"A sexually-provocative dance, involving the performer thrusting their hips back from a low squatting stance and shaking their buttocks."
ronin,2.77,0,0,2,A masterless samurai (who often becomes a mercenary to make ends meet).
juba,2.77,0,0,1,"An American dance of West African origin that involves stomping as well as slapping and patting the arms, legs, chest, and cheeks."
chubb,2.77,0,0,1,An erection of the penis.
sab,2.77,0,1,3,"A saboteur, especially of fox hunts."
saif,2.77,0,0,2,Alternative form of seif (“type of sand dune”).
liao,2.77,0,1,1,"Meats, vegetables, and other ingredients added to an otherwise plain dish."
wich,2.77,0,0,2,Alternative spelling of wych (“brine spring or well”).
futurama,2.77,0,0,1,A palpable depiction of a (usually sensational) vision of the future.
peloton,2.77,0,0,2,"A group of riders formed during a cycling road race; especially, the main group of riders; the pack."
rav,2.77,0,0,2,a rabbi
megatron,2.77,0,0,1,"A disc-seal tube, used in lighthouses or submersibles."
masha,2.77,0,0,1,Alternative spelling of maasha.
mcm,2.77,0,0,1,Initialism of million(s) of cubic meters.
conde,2.77,0,0,2,Alternative spelling of conn.
elo,2.77,0,0,1,Synonym of Elo rating.
inst,2.77,0,0,1,Alternative form of inst..
cardi,2.77,0,0,1,Alternative spelling of cardie.
inadmissible,2.77,0,0,1,"A person who is not to be admitted (to a country, a group, etc)."
fuckery,2.77,1,1,4,"Nonsense, bullshit, or underhanded trickery."
parti,2.77,0,0,2,"The basic, central, or main concept, drawing, or scheme of an architectural design."
riparian,2.76,0,0,1,A person or other entity that lives or owns property along the shore of a river.
heil,2.76,0,0,1,A Sieg Heil.
hatcher,2.76,0,0,2,"One who hatches, such as a chicken farmer."
keychain,2.76,0,0,3,A chain or ring to which a key may be attached.
tur,2.76,0,0,1,Any member of the species Capra caucasica (West Caucasian tur) or Capra cylindricornis (East Caucasian tur) of wild goats native to Caucasus.
unaffiliated,2.76,0,0,1,A person or organization having no affiliation.
ker,2.76,0,0,1,A chief of the Luo people.
vidya,2.76,0,1,1,Video games.
riverfront,2.76,0,0,1,The real estate located along the banks of a river.
gunter,2.76,0,0,2,"A device used in sailing, for two main configurations of rig:"
abb,2.76,1,1,3,A type of yarn for the warp.
hillman,2.76,0,0,3,A native or inhabitant of hilly or mountainous country; a tribesman who lives in the mountains.
backstreet,2.76,0,0,1,Alternative spelling of back street.
licensure,2.76,1,1,2,The act of conferring a license for an activity.
butthurt,2.76,0,1,1,A feeling of offense caused by a perceived insult or injustice.
anemic,2.76,0,0,1,A person who has anemia.
anabolic,2.76,0,0,1,An anabolic steroid.
panning,2.76,1,1,4,"The act of one who pans, as for gold."
mythos,2.76,1,1,4,"Anything transmitted by word of mouth, such as a fable, legend, narrative, story, or tale (especially a poetic tale)."
ait,2.76,0,0,2,"An island in a river, especially the River Thames in England."
cartman,2.76,0,0,2,A person who transports goods or people by horse and cart; a carman.
northside,2.76,0,0,1,"The northern side of a building, street, area etc."
corrigan,2.76,0,0,1,Alternative spelling of korrigan
hwan,2.76,0,0,1,"The monetary unit of South Korea from February 15, 1953 to June 9, 1962."
tasking,2.76,0,0,1,A task; an assigned item of work.
waka,2.76,0,0,3,A kind of classical Japanese poem.
bim,2.76,0,0,1,A woman.
chapo,2.76,0,0,1,chapati (food)
tcm,2.75,0,0,2,Abbreviation of trillions of cubic metres.
marla,2.75,0,1,3,Plasticine; modelling clay.
homeworld,2.75,0,0,1,The world on which someone or something originated; a home planet or moon.
lovey,2.75,0,0,2,An informal mode of address (associated most often with actors and the like).
opa,2.75,0,0,1,"Grandfather, grandpa."
hiller,2.75,0,0,1,A poor rural person.
ccm,2.75,0,0,1,Abbreviation of cubic centimeter.
backcountry,2.75,1,1,1,A remote region; countryside that is relatively inaccessible.
tattooing,2.75,1,1,2,The act of beating out a rhythm on a drum
bund,2.75,0,0,6,A league or confederacy; especially the confederation of German states.
thakur,2.75,0,0,1,A noble in the historical feudal system of the Indian subcontinent.
nrg,2.75,0,1,1,Alternative letter-case form of NRG (“energy”).
crump,2.75,0,0,1,The sound of a muffled explosion.
redman,2.75,0,0,1,"Alternative form of red man (“American Indian; Native American”, offensive)."
zorro,2.75,0,0,1,"A South American canid of the species Lycalopex culpaeus, visually similar to (and sometimes referred to as) a fox but more closely related to a wolf."
ded,2.75,0,0,1,A person who inflicts dedovshchina (a kind of hazing ritual).
scoreline,2.75,0,0,2,A line in a newspaper or other publication giving the score in a sports match
subprime,2.75,0,0,1,A subprime loan.
corby,2.75,0,0,1,Alternative form of corbie (“type of bird”).
rishi,2.75,0,0,2,"A Vedic poet and seer who composed Rigvedic hymns, who alone or with others invokes the deities with poetry of a sacred character."
jardin,2.75,0,0,1,The inclusions and fissures within an emerald.
rona,2.75,0,1,1,COVID-19.
hallo,2.75,0,0,2,"The cry ""hallo!"""
spidey,2.75,0,0,1,A spider.
puja,2.75,1,1,1,A religious ritual performed in South Asia as an act of worship.
keri,2.75,0,0,1,Alternative form of kere.
tock,2.75,0,0,1,A clicking sound similar to one made by the hands of a clock.
preterm,2.75,0,0,1,A premature birth or baby.
lexie,2.74,0,0,1,"A minimal unit of reading, such as a sentence or sentence fragment"
laine,2.74,0,0,1,an area of arable land at the foot of a hill
balsamic,2.74,1,1,1,Balsamic vinegar.
powerlifting,2.74,0,1,2,"A strength sport, consisting of three events: the squat, the bench press, and the deadlift. The maximum weight lifted in each event is totalled for a final score."
bagpipes,2.74,0,0,1,"A musical wind instrument possessing a flexible bag inflated by bellows, a double-reed melody pipe and up to four drone pipes; any aerophone that produces sound using air from a reservoir to vibrate e"
coker,2.74,0,0,3,The industrial plant in which coke is manufactured
pejorative,2.74,0,0,1,"A disparaging, belittling, or derogatory word or expression."
gpl,2.74,0,1,1,Abbreviation of grams per litre.
solano,2.74,0,0,1,A certain east wind of the Mediterranean.
rasa,2.74,0,0,1,An essential mental state; the dominant emotional theme of a work.
boing,2.74,0,0,2,The sound made by an elastic object (such as a spring) when bouncing; the sound of a bounce.
redux,2.74,0,0,1,"A theme or topic that is redone, restored, brought back, or revisited."
polis,2.74,1,1,3,A Greek city-state.
enabler,2.74,0,0,3,One who or that which helps something to happen.
eukaryotic,2.74,0,0,1,Such a cell or organism
pyramidal,2.74,0,0,1,One of the carpal bones.
flor,2.74,1,1,1,"A film of yeast that develops on the surface of some wines during fermentation, induced deliberately during the production of sherry."
hetero,2.74,0,0,1,A heterosexual person.
projective,2.74,0,0,3,An assessment test that presents subjects with some sort of stimulus to which they react by projecting or imagining details.
amicus,2.74,0,0,1,Someone not a party to a case who submits a brief and/or presents oral argument in that case.
mahi,2.74,0,1,1,the work required to complete a task
redd,2.74,0,0,1,A spawning nest made by a fish.
noob,2.74,0,0,2,"A newb or newbie; someone who is new to a game, concept, or idea; implying a lack of experience."
patterning,2.74,1,1,2,A pattern; the production of a pattern; the process of forming a pattern.
motocross,2.74,0,1,2,A form of off-road motorbike racing.
moya,2.74,1,1,1,"Flowing mud associated with a volcanic eruption (especially in South America), formed when snow or a lake near a volcano is disrupted, or when rain or steam mixes with soil or ash during an eruption."
stillborn,2.74,0,0,1,A baby that is born dead.
bru,2.74,0,0,1,bro; bra; term of address for a man
namaste,2.74,0,0,2,"The traditional greeting when saying the word namaste, with folded hands and a slight bow."
stig,2.74,0,0,2,"Someone from a poor background, with poor dress sense."
dendritic,2.74,0,0,1,A dendritic cell
redstone,2.74,0,1,2,A type of versatile material used to create electrical circuits and mechanisms.
yuen,2.74,0,0,1,A crowned gibbon or pileated gibbon (Hylobates pileatus)
ghibli,2.74,0,0,1,sirocco
warhammer,2.74,0,0,1,Alternative form of war hammer.
sav,2.74,0,0,2,A saveloy.
dur,2.74,0,0,1,A marijuana dealer.
timescale,2.74,0,0,1,Alternative spelling of time scale.
raff,2.74,1,1,5,A disorderly heap; a jumble; a large quantity
mib,2.74,0,0,1,"A marble (glass ball used in games), especially one used as a target."
homeschooling,2.74,0,1,1,Teaching children at home instead of sending them to school.
surrogacy,2.73,1,1,2,The state or condition of being a surrogate.
pere,2.73,0,0,1,Alternative spelling of père.
dumbo,2.73,0,0,1,A stupid person.
bigg,2.73,0,1,1,A kind of barley.
ahoy,2.73,0,0,1,An utterance of this interjection.
starcraft,2.73,0,1,2,"The art of interpreting or reading the stars, astrology."
mountaintop,2.73,0,0,1,The summit of a mountain.
rath,2.73,0,0,2,"A walled enclosure, especially in Ireland; a ringfort built sometime between the Iron Age and the Viking Age."
xing,2.73,0,0,1,Abbreviation of crossing or pedestrian crossing.
allo,2.73,0,0,1,One who is allosexual and/or alloromantic.
oba,2.73,0,0,1,A king of a Yoruba polity.
contactless,2.73,0,1,1,A technology for paying for goods etc. while physically present at the point of interaction but without the need for physical contact.
deva,2.73,0,0,1,"A god in Vedic mythology, Hinduism and Buddhism."
modulator,2.73,0,0,3,A person who modulates.
toolbar,2.73,0,0,1,"A row of buttons, usually marked with icons, used to activate the functions of an application or operating system."
bahadur,2.73,0,0,2,"A warrior, especially a Turko-Mongol."
bally,2.73,0,0,1,A balaclava.
fifi,2.73,0,0,1,An improvised vagina substitute used for masturbation.
winehouse,2.73,0,0,3,The building on a vineyard in which the winepress is located.
lookalike,2.73,0,0,2,"Someone who, or something which, physically resembles (looks like) another."
lawrie,2.73,0,0,1,Alternative form of lowrie.
powerball,2.73,0,0,1,Synonym of speedball (“mixture of drugs”).
hafiz,2.73,0,0,1,A Muslim who has memorized the whole Qur'an.
aro,2.73,0,0,1,A person who is aromantic.
fishman,2.73,0,0,1,A man who sells fish.
yow,2.73,0,0,1,Alternative form of yowe.
handjob,2.73,0,0,1,Alternative spelling of hand job.
kimura,2.73,0,0,1,An armlock where the implementer isolates the opponent's arm and torques the shoulder in order to cause pain or injury.
twisty,2.73,0,0,3,"Something that is twisty, such as a road"
boardman,2.73,0,0,1,A person who wears a sandwich board.
amiga,2.73,0,0,1,A female friend.
nightstand,2.72,0,0,1,"A small table or cabinet, often with one or more drawers or shelves, placed beside the head of a bed."
rik,2.72,0,0,1,Alternative spelling of riq.
hala,2.72,0,0,1,"Pandanus tectorius, a screw pine native to Malesia, eastern Australia, and the Pacific Islands."
gooch,2.72,0,0,1,The perineum.
noh,2.72,0,1,1,A form of classical Japanese music drama.
gogo,2.72,0,0,2,An elasticated hair band.
hunky,2.72,0,0,1,"A Hungarian or other eastern European, e.g. a Romanian or a Slav. (Sometimes applied (like honky) to any white person.)"
cfm,2.72,0,0,1,Abbreviation of cubic feet per minute.
cine,2.72,0,1,2,cinefilm
toasty,2.72,0,0,1,Alternative form of toastie.
cem,2.72,0,0,1,cemetery
backline,2.72,0,0,1,Alternative form of back line.
baguio,2.72,0,0,1,A typhoon.
rada,2.72,0,0,2,A parliamentary body in a number of Slavic countries.
tink,2.72,0,0,2,"A sharp, quick sound; a tinkle."
stormwater,2.72,1,1,1,"Water that is not absorbed into soil and rapidly flows downstream, increasing the level of waterways. In some municipal systems it intermixes with wastewater, increasing the volume of the latter."
munchies,2.72,0,0,3,"Food, especially convenience snack foods."
systolic,2.72,0,0,1,Ellipsis of systolic blood pressure.
effeminate,2.72,0,0,1,An effeminate person.
lunchbox,2.72,0,0,7,"A container for transporting meals, especially lunch."
schooler,2.72,0,0,2,"A student, or in some cases member, of a particular type of school or schooling. (ordinarily used in combinations such as ""high schooler"")"
bicep,2.72,0,0,1,A biceps.
rearview,2.72,0,0,1,Synonym of rearview mirror.
vom,2.72,0,1,1,Vomit.
muni,2.72,1,1,6,A municipal bond.
yuk,2.71,0,0,1,"Something, such as a joke, that causes such a laugh."
cour,2.71,0,0,2,"A three-month unit of television broadcasting, corresponding to one of the four seasons."
gol,2.71,0,0,1,Alternative form of gul.
futsal,2.71,0,1,1,"A form of soccer played indoors, with five players per team."
pcm,2.71,0,0,1,Initialism of per cent mille.
dua,2.71,1,1,1,Alternative spelling of du'a'.
tarek,2.71,0,0,1,Synonym of pearl mullet.
evs,2.71,0,1,1,Odds of 1:1; even money.
postgame,2.71,0,0,2,A postgame show.
tol,2.71,0,0,1,Lot.
golly,2.71,0,0,5,Abbreviation of golliwog:.
wizarding,2.71,0,1,1,"The magical work of a wizard; sorcery, witchcraft."
stepmom,2.71,0,0,1,Stepmother.
toa,2.71,1,1,3,"A small painted artifact made by the Diyari people of Australia, believed to have been used as place markers or signposts."
dissociative,2.71,0,0,1,A dissociative drug.
phish,2.71,0,0,1,A phishing attack.
workaround,2.71,0,0,3,"A means or method of circumventing an obstacle, particularly one arising from constraints, laws or regulatory requirements."
oldman,2.71,0,0,1,Alternative form of old man.
