variant,canonical,verdict,variant_verdict,canonical_verdict,note,dist,plural_side,v_zipf,c_zipf,v_pos,c_pos,v_wikt,c_wikt,v_corpus,c_corpus,v_gloss,c_gloss
in,inch,unrelated,,,,2,,7.27,4.49,,,prep:21;adj:16;adv:5,noun:7;verb:4;adj:1,OTHER:27749,NOUN:39,"A position of power or influence, or a way to get it.",An English unit of length equal to 1/12 of a foot or 2.54 cm.
at,att,unrelated,,,,1,,6.7,3.22,,,prep:21;noun:2;pron:,noun:1;prep:1,OTHER:7106,OTHER:2,The at sign (@).,"A subdivision of currency, equal to one hundredth of a Lao kip."
do,hairdo,unrelated,,,,4,,6.35,2.72,,,verb:39;noun:9;adv:1,noun:2,OTHER:1713,,"A party, celebration, social function; usually of moderate size and fo",A hairstyle.
back,backstroke,unrelated,,,,4,,6.04,2.65,,,noun:25;verb:16;adv:,noun:3;verb:2,ADV:1125,,"The rear of the body, especially the part between the neck and the end",A backhanded stroke or blow.
year,here,unrelated,,,,3,,5.96,5.97,,,noun:13,adv:8;intj:5;noun:3;,NOUN:1450,ADV:848,A period of time akin to the time taken for the Earth to undergo a ful,This place; this location.
why,wye,unrelated,,,,2,,5.93,2.77,,,adv:6;noun:3;intj:1;,noun:2;verb:2,OTHER:449,,Reason.,The name of the Latin script letter Y/y.
s,scruple,unrelated,name,,,4,,5.86,1.89,,,noun:3;character:1;n,noun:5;verb:4,PROPN:34,,"Abbreviation of scruple, a unit of mass in the apothecaries' system.",Hesitation to act from the difficulty of determining what is right or 
better,bettor,unrelated,adj,,,1,,5.76,2.06,,,verb:5;adj:4;noun:2;,noun:1,ADJ:486,,"An entity, usually animate, deemed superior to another; one who has a ","A person who makes a bet, such as a wager on the outcome of a game of "
must,musth,unrelated,,,,1,,5.68,1.46,,,noun:5;verb:5,noun:2,OTHER:1095,,"Something that is mandatory, required or recommended.",Chiefly preceded by in or on: the state each year during which a male 
set,sett,unrelated,,,,1,,5.59,2.27,,,verb:49;noun:41;adj:,noun:8;verb:2,VERB:520,,A punch for setting nails in wood.,The system of tunnels that is the home of a badger.
head,headline,unrelated,,,,4,,5.51,4.03,,,noun:61;verb:14;adj:,noun:4;verb:2,NOUN:487,NOUN:7,"The part of the body of an animal or human which contains the brain, m",The heading or title of a magazine or newspaper article.
car,cat,unrelated,,,,1,,5.45,4.78,,,noun:18,noun:28;verb:7;adj:1,NOUN:328,NOUN:29,"A wheeled vehicle that moves independently, with at least three wheels",Terms relating to animals.
president,precedent,unrelated,,,,2,,5.45,3.78,,,noun:5;adj:1;verb:1,noun:6;adj:2;verb:2,NOUN:819,NOUN:14,"The head of state of a republic, sometimes also the head of government",An act in the past which may be used as an example to help decide the 
t,time,unrelated,,,,3,,5.43,6.29,,,noun:4;character:1;n,noun:27;verb:6;intj:,NOUN:77,NOUN:1881,Abbreviation of time.,The inevitable progression into the future with the passing of present
m,meter,unrelated,,,,4,,5.39,4.09,,,noun:8;verb:2;adj:1;,noun:7;verb:3,NOUN:17,NOUN:6,Abbreviation of meter.,A device that measures things.
win,wynn,unrelated,,name,,2,,5.39,3.11,,,verb:13;noun:6,noun:1,VERB:83,PROPN:1,An individual victory.,"A letter of the Old English alphabet, ƿ, borrowed from the futhark and"
police,policy,unrelated,,,,1,,5.33,5.17,,,noun:10;verb:3,noun:14;verb:1,NOUN:179,NOUN:342,A constituted body of officers representing the civil authority of gov,"A principle of behaviour, conduct which an entity (government, organiz"
check,chick,unrelated,,,,1,,5.31,4.08,,,verb:23;noun:16;intj,noun:7;verb:2,VERB:104,NOUN:3,An inspection or examination.,A young bird.
field,fielder,unrelated,,,,2,,5.24,3.19,,,noun:27;verb:6,noun:5,NOUN:308,NOUN:3,"A land area free of woodland, cities, and towns; an area of open count",A dog trained in pursuit of game in the field.
board,blackboard,unrelated,,,,4,,5.24,3.02,,,noun:16;verb:9,noun:1;verb:1,NOUN:464,NOUN:2,"A relatively long, wide and thin piece of any material, usually wood o","A large flat surface, finished with black slate or a similar material,"
re,rematch,unrelated,name,,,4,,5.23,3.44,,,noun:4;prep:1,verb:3;noun:2,PROPN:8,NOUN:1,A syllable used in solfège to represent the second note of a major sca,A repeated contest staged between the same opponents or teams which pl
sex,sect,unrelated,,,,2,,5.22,3.54,,,noun:9;verb:3,noun:4,NOUN:95,NOUN:2,A category into which sexually-reproducing organisms are divided on th,An offshoot of a larger religion or denomination.
w,win,unrelated,name,,,2,,5.21,5.39,,,noun:5;adj:3;prep:2;,verb:13;noun:6,PROPN:5,VERB:83,watt,An individual victory.
test,testosterone,unrelated,,,,4,,5.19,3.6,,,noun:11;verb:10,noun:2,NOUN:189,,"A challenge, trial.",A steroid hormone that stimulates development of male secondary sexual
dead,deadlift,unrelated,adj,,,4,,5.19,2.54,,,adj:30;adv:4;noun:4;,noun:3;verb:1,ADJ:187,,"Time when coldness, darkness, or stillness is most intense.",A weight training exercise where one lifts a loaded barbell off the gr
sent,scent,unrelated,,,,1,,5.16,3.82,,,noun:2;verb:1,noun:6;verb:6,VERB:188,NOUN:6,"A subdivision of currency, equal to one hundredth of an Estonian kroon",A distinctive smell.
n,north,unrelated,,,,4,,5.15,5.34,,,noun:5;adj:1;charact,adj:6;noun:5;adv:1;v,NOUN:38,NOUN:247,Abbreviation of north.,The direction towards the pole to the left-hand side of someone facing
p,p,reverse,,,,0,,5.13,5.13,,,noun:7;adv:2;prep:2;,noun:7;adv:2;prep:2;,NOUN:76,NOUN:76,"Alternative form of p., abbreviation of page (plural pp).","Alternative form of p., abbreviation of page (plural pp)."
key,quay,unrelated,adj,,,3,,5.12,3.26,,,noun:43;verb:15;adj:,adj:1;adv:1;noun:1;v,ADJ:133,,An object designed to open and close a lock or to activate or deactiva,A stone or concrete structure on navigable water used for loading and 
forward,foreword,unrelated,,,,2,,5.12,3.13,,,adj:11;noun:9;adv:8;,noun:1,ADV:126,,"One of the eight players (comprising two props, one hooker, two locks,",An introductory section preceding the main text of a book or other doc
science,scion,unrelated,,,,3,,5.12,3.03,,,noun:9;verb:2,noun:4,NOUN:140,NOUN:1,"A particular discipline or branch of knowledge that is natural, measur","A descendant, especially a first-generation descendant of a distinguis"
style,stile,unrelated,,,,1,,5.11,2.39,,,noun:16;verb:4,noun:3;verb:1,NOUN:111,,"Senses relating to a thin, pointed object.","A set of one or more steps surmounting a fence or wall, or a narrow ga"
kill,kiln,unrelated,,,,1,,5.09,3.11,,,verb:18;noun:8,noun:1;verb:1,VERB:75,,The act of killing.,"An oven or furnace or a heated chamber, for the purpose of hardening, "
f,fuck,unrelated,name,,,3,,5.08,5.39,,,noun:3;character:1;n,verb:13;noun:5;intj:,PROPN:41,VERB:4,"Folio, paper and book size (10""-12.5"" x 15""-20"")",An act of sexual intercourse.
code,cod,unrelated,,,,1,,5.08,3.89,,,noun:13;verb:7,noun:12;adj:2;verb:2,NOUN:51,NOUN:6,"A short textual designation, often with little relation to the item it",Any of various types of sea fish or the meat from said fish.
super,superannuation,unrelated,,,,4,,5.08,3.01,,,noun:11;adj:2;adv:2;,noun:2,ADJ:8,,Clipping of superannuation.,"A retirement benefit fund, an accumulation of regular deductions from "
staff,staph,unrelated,,,,2,,5.08,2.57,,,noun:13;verb:1,noun:1,NOUN:156,,"A long, straight, thick wooden rod or stick, especially one used to as",Staphylococcus bacteria and the infection it causes.
paper,newspaper,unrelated,,,,4,,5.07,4.6,,,noun:16;verb:9;adj:4,noun:3;verb:3,NOUN:251,NOUN:100,A sheet material typically used for writing on or printing on (or as a,"A publication, usually published daily or weekly, containing news and "
bed,bedroom,unrelated,,,,4,,5.07,4.46,,,noun:30;verb:11,noun:3,NOUN:130,NOUN:52,"A piece of furniture, usually flat and soft, on which to rest or sleep","A room in a house, apartment, hotel, or other dwelling where a bed is "
die,dye,unrelated,,,,1,,5.07,3.82,,,verb:25;noun:10;adv:,noun:3;verb:1,VERB:83,,The cubical part of a pedestal; a plinth.,"A colorant, especially one that has an affinity to the substrate to wh"
h,hour,unrelated,name,,,3,,5.06,5.18,,,noun:5;adj:1;charact,noun:7,PROPN:23,NOUN:169,"Abbreviation of hour, particularly when used as a (non-SI) unit of tim",A unit of time of one twenty-fourth of a day (sixty minutes).
v,venturi,unrelated,,name,,4,,5.06,2.54,,,noun:2;adv:1;charact,noun:3,NOUN:27,PROPN:1,A shape resembling the letter.,A venturi tube.
la,lane,unrelated,name,name,,2,,5.05,4.57,,,noun:4;intj:3;partic,noun:13,PROPN:76,PROPN:42,A syllable used in solfège to represent the sixth note of a major scal,"A road, street, or similar thoroughfare."
base,bass,unrelated,,,,1,,5.05,4.28,,,noun:39;adj:12;verb:,noun:9;adj:1;verb:1,NOUN:135,NOUN:22,Something from which other things extend; a foundation.,A low spectrum of sound tones.
mine,mien,unrelated,,,,2,,5.04,2.31,,,verb:10;noun:8;pron:,noun:2,OTHER:77,NOUN:1,"An excavation from which ore or solid minerals are taken, especially o","Demeanor; facial expression or attitude, especially one which is inten"
box,horsebox,unrelated,,,,4,,5.04,1.47,,,noun:43;verb:12,noun:3,NOUN:81,,Senses relating to a three-dimensional object or space.,A motor vehicle for transporting horses.
y,year,unrelated,,,,3,,5.03,5.96,,,noun:2;adv:1;charact,noun:13,NOUN:5,NOUN:1450,Abbreviation of year.,A period of time akin to the time taken for the Earth to undergo a ful
rock,roc,unrelated,,,,1,,5.03,3.31,,,noun:27;verb:15,noun:2,NOUN:88,,"A formation of minerals, specifically:",An enormous mythical bird in Eastern legend.
g,gram,unrelated,name,,,3,,5.0,3.76,,,noun:7;character:1;n,noun:7;name:1;verb:1,PROPN:17,NOUN:10,A unit of gravitational acceleration.,A unit of mass equal to one-thousandth of a kilogram. Symbol: g.
link,hyperlink,unrelated,,,,4,,4.99,2.42,,,noun:16;verb:8,verb:3;noun:2,NOUN:25,,"A connection between places, people, events, things, or ideas.",Some text or a graphic in an electronic document that can be activated
favorite,favourite,reverse,adj,,,1,,4.97,4.57,,,adj:1;noun:1;verb:1,noun:5;verb:3;adj:2,ADJ:50,,"Canada, US standard spelling of favourite.",A person or thing who enjoys special regard or favour.
reach,retch,unrelated,,,,1,,4.94,2.04,,,verb:18;noun:15,verb:4;noun:1,VERB:126,VERB:1,The act of stretching or extending; extension.,An unsuccessful effort to vomit.
ship,relationship,unrelated,,,,4,,4.93,5.15,,,verb:13;noun:10,noun:6,NOUN:97,NOUN:101,A water-borne vessel generally larger than a boat.,A connection or association; the condition of being related.
none,nones,plural,,,,1,canonical,4.93,1.83,,,adv:3;noun:3;pron:3;,noun:6,OTHER:130,,A person without religious affiliation.,"The notional first-quarter day of a Roman month, occurring on the 7th "
beach,bitch,unrelated,,,,2,,4.92,4.76,,,noun:6;verb:3,noun:17;verb:3,NOUN:85,NOUN:6,"The shore of a body of water, especially when sandy or pebbly.","A female dog or other canine, particularly a recent mother."
wear,weir,unrelated,,,,1,,4.92,3.52,,,verb:15;noun:5,noun:3,VERB:42,NOUN:2,Clothing.,An adjustable dam placed across a river to regulate the flow of water 
lack,lakh,unrelated,,,,2,,4.92,3.24,,,verb:5;noun:3,noun:2;num:1,NOUN:137,,A deficiency or need (of something desirable or necessary); an absence,One hundred thousand rupees.
skin,skinhead,unrelated,,,,4,,4.91,2.68,,,noun:19;verb:12,noun:2,NOUN:52,,"The outer protective layer of the body of any animal, including of a h",Someone with a shaved head.
block,bloc,unrelated,,,,1,,4.88,3.6,,,noun:40;verb:15,noun:2,NOUN:117,NOUN:23,"A substantial, often approximately cuboid, piece of any substance.",A group of voters or politicians who share common goals.
drug,drugstore,unrelated,,,,4,,4.87,3.07,,,noun:6;verb:5,noun:1,NOUN:90,NOUN:5,"A substance used to treat an illness, relieve a symptom, or modify a c","Synonym of pharmacy, especially a small standalone general store which"
cent,century,unrelated,,,,3,,4.83,5.02,,,noun:10,noun:8,NOUN:164,NOUN:232,A subunit of currency equal to one-hundredth of the main unit of curre,A period of one hundred consecutive years; often specifically a number
throw,throe,unrelated,,,,1,,4.83,1.24,,,verb:30;noun:13,noun:5;verb:2,VERB:45,,The act of throwing something.,"A severe pang or spasm of pain, especially one experienced when the ut"
click,klick,unrelated,,,,1,,4.82,1.89,,,noun:16;verb:15;intj,noun:3,NOUN:2,,"A brief, sharp, not particularly loud, relatively high-pitched sound p",A kilometer.
ex,exhibition,unrelated,,,,4,,4.81,4.37,,,adj:4;noun:3;verb:2,noun:6;verb:1,OTHER:2,NOUN:28,The name of the Latin script letter X/x.,"An instance of exhibiting, or something exhibited."
wild,weald,unrelated,adj,,,2,,4.8,2.3,,,adj:18;noun:4;adv:2;,noun:2,ADJ:68,,The undomesticated state of a wild animal.,A forest or wood.
camp,campus,unrelated,,,,2,,4.79,4.51,,,noun:20;verb:10;adj:,noun:2;verb:2,NOUN:75,NOUN:36,An outdoor place acting as temporary accommodation in tents or other s,"The grounds or property of a school, college, university, business, ch"
bet,beth,unrelated,,name,,1,,4.79,3.87,,,noun:4;intj:3;verb:3,noun:4,VERB:32,PROPN:11,"A wager, an agreement between two parties that a stake (usually money)","The second letter of the Phoenician alphabet, 𐤁"
cast,caste,unrelated,,,,1,,4.79,3.6,,,verb:34;noun:21;adj:,noun:4,VERB:54,NOUN:3,An act of throwing.,Any of the hereditary social classes and subclasses of South Asian soc
van,vanguard,unrelated,name,,,4,,4.78,3.53,,,noun:8;verb:3,noun:2,PROPN:50,NOUN:3,A covered motor vehicle used to carry goods or (normally less than ten,The leading units at the front of an army or fleet.
labor,labour,reverse,,,,1,,4.77,4.7,,,noun:1;verb:1,noun:9;verb:5,NOUN:185,NOUN:4,Alternative spelling of labour.,"An effort expended on a particular task; toil, work."
birth,berth,unrelated,,,,1,,4.77,3.44,,,noun:6;verb:2;adj:1,noun:12;verb:7,NOUN:69,NOUN:4,The process of childbearing; the beginning of life; the emergence of a,Chiefly in wide berth: a sufficient space in the water for a ship or o
ad,advertisement,unrelated,,,,4,,4.76,3.84,,,noun:5;prep:1,noun:6,NOUN:77,NOUN:4,Clipping of advertisement.,"A commercial solicitation designed to sell some commodity, service or "
fellow,fella,reverse,,,,2,,4.76,3.49,,,noun:31;verb:7,noun:3,NOUN:75,NOUN:6,A companion; a comrade.,Pronunciation spelling of fellow.
connection,connexion,reverse,,,,2,,4.76,2.46,,,noun:16,noun:3,NOUN:77,NOUN:2,The act of connecting.,Dated spelling of connection.
aid,aide,unrelated,,,,1,,4.75,3.69,,,noun:8;verb:2,noun:2,NOUN:192,NOUN:21,"Help; assistance; succor, relief.",An assistant.
frank,franc,unrelated,name,,,1,,4.75,3.11,,,noun:6;adj:5;verb:4,noun:1,PROPN:90,NOUN:6,"Free postage, a right exercised by governments (usually with definite ",Any of several units of currency.
martin,marten,unrelated,name,,,1,,4.74,2.66,,,noun:2,noun:2,PROPN:78,,"Many of the various passerine birds of the family Hirundinidae, which ",Any carnivorous mammal of the genus Martes.
lee,li,unrelated,name,name,,2,,4.73,4.25,,,noun:6;adj:1,noun:6,PROPN:43,PROPN:3,"A protected cove or harbor, out of the wind.","The Chinese mile, a traditional unit of distance equal to 1500 chis or"
stress,distress,unrelated,,,,2,,4.73,3.95,,,noun:10;verb:6,noun:6;verb:3,NOUN:122,NOUN:16,"A physical, chemical, infective agent aggressing an organism.","Physical or emotional discomfort, suffering, or alarm, particularly of"
ray,re,unrelated,name,name,,2,,4.69,5.23,,,noun:10;verb:6,noun:4;prep:1,PROPN:23,PROPN:8,A beam of light or radiation.,A syllable used in solfège to represent the second note of a major sca
ben,bin,unrelated,name,,,1,,4.69,4.22,,,noun:9;adj:2;adv:1;p,noun:9;verb:5;contra,PROPN:22,NOUN:10,A prayer; a petition.,"A box, frame, crib, or enclosed place, used as a storage container."
user,username,unrelated,,,,4,,4.69,3.76,,,noun:6,noun:1,NOUN:17,,"One who uses or makes use of something, a consumer or client or an exp",A name or string of characters used as a person's identification on an
chair,chairperson,unrelated,,,,4,,4.69,3.15,,,noun:11;verb:3,noun:1,NOUN:66,,"An item of furniture used to sit on or in, comprising a seat, legs or ","A chairman or chairwoman, someone who presides over a meeting, board, "
ms,manuscript,unrelated,,,,4,,4.67,3.92,,,noun:2,noun:2;adj:1,NOUN:2,NOUN:9,Abbreviation of manuscript.,"A book, composition or any other document, written by hand (or manuall"
max,maximum,unrelated,name,adj,,4,,4.66,4.6,,,noun:3;verb:2;adj:1;,noun:8;adj:1,PROPN:13,ADJ:89,Clipping of maximum.,The highest limit.
sub,submarine,unrelated,,,,4,,4.66,3.81,,,noun:19;verb:11;prep,noun:5;verb:4;adj:3,NOUN:5,NOUN:28,Abbreviation of submarine.,A boat that can go underwater.
mm,month,unrelated,,,,4,,4.65,5.25,,,intj:1;noun:1,noun:3,NOUN:5,NOUN:308,"Abbreviation of month, in two-digit numeric format, as in: dd/mm/yyyy.","A period into which a year is divided, historically based on the phase"
id,ide,unrelated,,,,1,,4.61,3.14,,,noun:3;pron:1,noun:1,NOUN:1,,The unconscious impulsive component of the personality in the Freudian,"A freshwater fish of the family Cyprinidae, found across northern Euro"
prize,price,unrelated,,,,1,,4.59,5.23,,,noun:8;verb:4;adj:2,verb:5;noun:3,NOUN:31,NOUN:414,That which is taken from another; something captured; a thing seized b,The cost required to gain possession of something.
nick,nickname,unrelated,name,,,4,,4.59,3.91,,,verb:11;noun:9,noun:2;verb:1,PROPN:26,NOUN:14,A small cut in a surface.,"A familiar, invented name for a person or thing used instead of the ac"
programme,program,variant,,,,2,,4.57,5.27,,,noun:2;verb:1,noun:7;verb:5,,NOUN:649,"UK, New Zealand, and India standard spelling of program.",A set of structured activities; a plan of action.
matt,matte,variant,,,,1,,4.55,3.52,,,noun:3;adj:1;verb:1,noun:4;adj:1;verb:1,NOUN:4,,"Alternative spelling of matte (“background, often painted or created w",A decorative border around a picture used to inset and center the cont
mate,checkmate,unrelated,,,,4,,4.55,2.98,,,noun:13;verb:13,intj:2;noun:2;verb:2,NOUN:22,,"A fellow, comrade, colleague, partner or someone with whom something i",The conclusive victory in a game of chess that occurs when an opponent
wet,wat,unrelated,adj,,,1,,4.54,3.44,,,adj:18;noun:9;verb:7,noun:2;adv:1;det:1;p,ADJ:53,,Liquid or moisture.,"A Buddhist temple in Southeast Asia, especially those in Thailand, Lao"
bike,bicycle,unrelated,,,,4,,4.53,3.98,,,noun:6;verb:3,noun:10;verb:2,NOUN:12,NOUN:9,Clipping of bicycle.,"A vehicle that has two primary wheels, one behind the other, a steerin"
peak,peag,unrelated,,,,1,,4.53,0.0,,,noun:12;verb:11;adj:,noun:1,NOUN:28,,A point; the sharp end or top of anything that terminates in a point; ,Wampum.
ft,foot,unrelated,,,,2,,4.52,4.87,,,noun:1;verb:1,noun:26;verb:9,NOUN:6,NOUN:79,Abbreviation of foot (“unit of length”).,A biological structure found in many animals that is used for locomoti
theatre,theater,variant,,,,2,,4.52,4.35,,,noun:2,noun:8,NOUN:29,NOUN:53,Alternative spelling of theater.,"A place or building, consisting of a stage and seating, in which an au"
brief,briefs,plural,adj,,,1,canonical,4.52,3.31,,,noun:15;adj:4;adv:2;,noun:5;verb:1,ADJ:86,NOUN:4,A writ summoning one to answer; an official letter or mandate.,plural of brief
pink,pinko,unrelated,adj,,,1,,4.52,2.05,,,noun:17;verb:9;adj:7,noun:1,ADJ:49,,"A color reminiscent of pinks, the flowers.","A socialist, particularly one who is not completely communist."
cap,capture,unrelated,,,,4,,4.51,4.42,,,noun:32;verb:16,noun:5;verb:5,NOUN:34,VERB:22,"A close-fitting hat, either brimless or peaked.",An act of capturing; a seizing by force or stratagem.
colour,color,variant,,,,1,,4.49,4.91,,,adj:1;noun:1;verb:1,noun:25;verb:8;adj:1,,NOUN:147,Commonwealth and Ireland standard spelling of color.,The spectral composition of visible light.
grey,gray,variant,adj,adj,,1,,4.48,4.45,,,adj:2;noun:1;verb:1,noun:7;adj:6;verb:3,ADJ:13,ADJ:85,Commonwealth standard spelling of gray.,An achromatic colour between black and white.
auto,automobile,unrelated,,,,4,,4.48,3.94,,,noun:6;adj:1;verb:1,adj:1;noun:1;verb:1,NOUN:67,NOUN:58,A setting for automatic operation.,A type of motor vehicle designed to move on the ground under its own s
sharp,sharpie,unrelated,adj,,,2,,4.48,2.73,,,adj:24;noun:15;adv:6,noun:8,ADJ:106,,"The symbol ⟨♯⟩, placed after the name of a note in the key signature o",An alert person.
bone,trombone,unrelated,,,,4,,4.47,2.97,,,noun:16;verb:11;adj:,noun:3;verb:2,NOUN:38,,A composite material consisting largely of calcium phosphate and colla,"A musical instrument in the brass family, having a cylindrical bore, a"
pet,petition,unrelated,,,,4,,4.45,4.3,,,noun:7;verb:7;adj:3,noun:3;verb:1,NOUN:14,NOUN:18,"An animal kept as a companion or otherwise for pleasure, rather than f",A formal written request made by an individual or a group of people to
math,mathematics,unrelated,,,,4,,4.45,4.15,,,noun:5;verb:2,noun:2,NOUN:4,NOUN:23,Clipping of mathematics.,"An abstract representational system studying numbers, shapes, structur"
mac,mackintosh,unrelated,name,,,4,,4.45,2.93,,,noun:3,noun:3,PROPN:15,NOUN:1,Clipping of mackintosh (“a raincoat”).,A waterproof long coat made of rubberized cloth.
bath,bathroom,unrelated,,,,4,,4.44,4.54,,,noun:9;verb:2,noun:2;verb:1,NOUN:26,NOUN:18,A tub or pool which is used for bathing: bathtub.,"A room containing a shower or bathtub, and (typically but not necessar"
sand,sandpiper,unrelated,,,,4,,4.44,2.46,,,noun:12;verb:3;adj:1,noun:1,NOUN:34,,"Rock that is ground more finely than gravel, but is not as fine as sil",Any of various small waders of the family Scolopacidae.
mini,miniskirt,unrelated,,,,4,,4.44,2.38,,,noun:5;adj:1,noun:1,,,Abbreviation of miniskirt.,"A short skirt with its hemline well above the knees, generally at mid-"
plain,plane,unrelated,adj,,,2,,4.43,4.72,,,adj:13;noun:5;verb:4,noun:12;verb:3;adj:1,ADJ:51,NOUN:121,"An expanse of land with relatively low relief and few trees, especiall",A level or flat surface.
gym,gymnasium,unrelated,,,,4,,4.43,3.19,,,noun:4;verb:1,noun:3,NOUN:2,NOUN:1,"Clipping of gymnasium; especially, a school gymnasium.",A large room or building for indoor sports.
min,minute,unrelated,,,,3,,4.42,4.98,,,noun:6;verb:3;adj:1,noun:12;adj:2;verb:2,NOUN:5,NOUN:64,Abbreviation of minute.,A unit of time which is one sixtieth of an hour (sixty seconds).
ghost,ghostwriter,unrelated,,,,4,,4.42,2.48,,,noun:25;verb:13;adj:,noun:1,NOUN:11,,A disembodied soul; a soul or spirit of a deceased person; a spirit ap,A professional writer who is paid to write material that is officially
sheet,shit,unrelated,,,,2,,4.4,5.48,,,noun:15;verb:4,noun:14;verb:6;intj:,NOUN:57,NOUN:2,A thin bed cloth used as a covering for a mattress or as a layer over ,Usually solid excretory product evacuated from the bowels; feces.
desert,dessert,unrelated,,,,1,,4.4,3.83,,,noun:5;verb:2;adj:1,noun:2,NOUN:23,NOUN:8,"A barren area of land or desolate terrain, especially one with little ","The last course of a meal, consisting of fruit, sweet confections etc."
crap,craps,plural,,,,1,canonical,4.4,2.8,,,noun:7;verb:3;adj:1;,noun:3;verb:1,NOUN:3,,The husk of grain; chaff.,"A game of gambling, or chance, where the players throw dice to make sc"
pot,potbelly,unrelated,,,,4,,4.4,2.0,,,noun:28;verb:16,noun:3,NOUN:31,,"A flat-bottomed vessel (usually metal) used for cooking food, possibly","A large, protruding, or swollen abdomen; a paunch."
bye,boy,unrelated,,,,2,,4.39,5.17,,,noun:8;adj:2;intj:2;,noun:18;intj:1;verb:,VERB:2,NOUN:246,The position of a person or team in a tournament or competition who dr,A male child.
mo,moment,unrelated,name,,,4,,4.38,5.24,,,noun:5;adj:2;adv:2;n,noun:12,PROPN:1,NOUN:271,Clipping of moment.,"A particular point, or relatively small region."
pope,pop,unrelated,,name,,1,,4.38,4.87,,,noun:18;verb:2,verb:21;noun:19;adj:,NOUN:46,PROPN:17,An honorary title of the Roman Catholic bishop of Rome as father and h,"A loud, sharp sound, as of a cork coming out of a bottle, especially w"
mill,mil,unrelated,,,,1,,4.38,3.74,,,noun:28;verb:17,noun:7;adj:1,NOUN:21,,"A grinding apparatus for substances such as grains, seeds, etc. (Some ","An angular mil, a unit of angular measurement equal to ¹⁄₆₄₀₀ of a com"
spin,spinnaker,unrelated,,,,4,,4.38,2.26,,,verb:21;noun:16,noun:1;verb:1,VERB:13,,"Circular motion, usually rapid.","A sail supplemental to the mainsail, especially a triangular one, used"
behaviour,behavior,variant,,,,1,,4.36,4.69,,,noun:1,noun:6,NOUN:3,NOUN:108,British standard spelling of behavior.,Human conduct relative to social norms.
doc,doctorate,unrelated,name,,,4,,4.36,3.38,,,noun:4,noun:1;verb:1,PROPN:21,NOUN:2,A doctor.,The highest degree awarded by a university faculty.
rep,reputation,unrelated,,,,4,,4.35,4.47,,,noun:8;verb:4,noun:1,,NOUN:36,Clipping of reputation.,What somebody or something is known for.
terrorist,tourist,unrelated,,,,4,,4.35,4.2,,,noun:3;adj:1,noun:5;verb:1,ADJ:1,NOUN:21,"A person, group, or organization that uses violent action, or the thre",Someone who travels for pleasure rather than for business; a leisure v
principle,principal,unrelated,,adj,,2,,4.34,4.52,,,noun:10;verb:1,noun:15;adj:3,NOUN:119,ADJ:122,"A fundamental assumption, fundamental law or guiding belief.","The money originally invested or loaned, on which basis interest and r"
bang,bhang,unrelated,,,,1,,4.32,1.77,,,noun:14;verb:14;adv:,noun:2,NOUN:12,,A sudden percussive noise.,A traditional South Asian preparation made from the leaves and flowers
sec,second,unrelated,name,,,3,,4.31,5.63,,,noun:3,noun:18;verb:7;adj:3,PROPN:27,OTHER:488,"Second, ¹⁄₆₀ of a minute.",Something that is number two in a series.
favour,favor,variant,,,,1,,4.31,4.58,,,noun:1;verb:1,noun:11;verb:6,NOUN:2,NOUN:102,British standard spelling of favor.,A kind or helpful deed; an instance of voluntarily assisting (someone)
sauce,source,unrelated,,,,2,,4.3,5.15,,,noun:10;verb:5,noun:7;verb:2,NOUN:22,NOUN:127,A liquid (often thickened) condiment or accompaniment to food.,"The person, place, or thing from which something (information, goods, "
bat,baht,unrelated,,,,1,,4.3,2.94,,,noun:22;verb:7,noun:2;adv:1;prep:1,NOUN:19,,"Any flying mammal of the order Chiroptera, usually small and nocturnal","The official currency of Thailand, equal to 100 satang."
bow,bough,unrelated,,,,3,,4.3,2.73,,,noun:19;verb:10;intj,noun:2,NOUN:17,NOUN:2,A weapon made of a curved piece of wood or other flexible material who,"A tree-branch, usually a primary one directly attached to the trunk."
drag,dragon,unrelated,,,,2,,4.29,4.41,,,noun:33;verb:17;adj:,noun:17,VERB:17,NOUN:1,Resistance of a fluid to something moving through it.,A mythical reptilian or serpentine creature.
dialogue,dialog,variant,,,,2,,4.29,3.46,,,noun:5;verb:3,noun:2;verb:1,NOUN:16,,A conversation or other form of discourse between two or more individu,Uncommon spelling of dialogue.
dec,decrement,unrelated,name,,,4,,4.29,2.0,,,noun:3;adj:1;verb:1,noun:2;verb:1,PROPN:9,NOUN:2,Abbreviation of decrement.,A small quantity removed or lost; one of a series of regular subtracti
tale,tael,unrelated,,,,2,,4.29,1.77,,,noun:12;verb:2,noun:3,NOUN:23,,A rehearsal of what has occurred; narrative; discourse; statement; his,Any of several units of measure used in China and elsewhere in eastern
slip,sideslip,unrelated,,,,4,,4.28,1.38,,,noun:36;verb:17,noun:4;verb:1,NOUN:23,,An act or instance of slipping.,A flight manoeuvre that uses opposing rudder and aileron inputs to mov
corps,corpse,unrelated,,,,1,,4.27,3.76,,,noun:5,noun:3;verb:2,NOUN:116,NOUN:7,A battlefield formation composed of two or more divisions.,"A dead body, especially that of a human as opposed to an animal."
