variant,canonical,verdict,variant_verdict,canonical_verdict,note,dist,plural_side,v_zipf,c_zipf,v_pos,c_pos,v_wikt,c_wikt,v_corpus,c_corpus,v_gloss,c_gloss
chigetai,dziggetai,variant,,,,3,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of dziggetai.,"The Mongolian wild ass, Equus hemionus hemionus, a subspecies of the o"
chiseller,chiseler,variant,,,,1,,0.0,0.0,,,noun:1,noun:3,,,Alternative spelling of chiseler.,One who uses a chisel for carving.
chromaesthesia,chromesthesia,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of chromesthesia.,Sound-to-color synaesthesia.
cirripede,cirriped,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of cirriped.,Any barnacle or similar crustacean of the infraclass Cirripedia
clayiness,clayeyness,variant,,,,2,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of clayeyness.,The quality of being clayey.
cockleburr,cocklebur,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of cocklebur.,"Any of the coarse composite weeds of the genus Xanthium, with a prickl"
cocoswood,cocuswood,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of cocuswood.,"The dense hardwood of Brya ebenus, a Caribbean flowering tree."
coigne,coign,variant,,,,1,,0.0,0.0,,,noun:1,noun:5;verb:1,,,Alternative form of coign: a keystone; a wedge; (obsolete) a corner or,A projecting corner or angle; a cornerstone.
colorlessness,colourlessness,reverse,,,,1,,0.0,0.0,,,noun:1,noun:1,,,US standard spelling of colourlessness.,The state or quality of being colourless.
colourcast,colorcast,variant,,,,1,,0.0,0.0,,,noun:1;verb:1,noun:1;verb:1,,,Alternative spelling of colorcast.,"An undesirable tint of color affecting another color in a photograph, "
conventionalisation,conventionalization,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of conventionalization.,The act or process of rendering something conventional.
councilorship,councillorship,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of councillorship.,The role or status of councillor.
counsellorship,counselorship,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of counselorship.,The function and rank or office of a counselor.
covalency,covalence,variant,,,,1,,0.0,0.0,,,noun:1,noun:2,,,Alternative spelling of covalence.,A form of valence in which electrons are shared between participating 
crenelation,crenellation,variant,,,,1,,0.0,0.0,,,noun:1,noun:3,,,Alternative form of crenellation.,"A pattern along the top of a parapet (fortified wall), most often in t"
crenelle,crenel,variant,,,,2,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of crenel.,The space between merlons in a crenelated battlement.
crotal,crottle,unrelated,,,,2,,0.0,0.0,,,noun:3,noun:1,,,"A crotalum, a type of clapper used in Ancient Greece.","Any of various lichens gathered for dyeing, especially those of the ge"
cryoanaesthesia,cryoanesthesia,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of cryoanesthesia.,Insensibility resulting from cold.
decaliter,decalitre,reverse,,,,2,,0.0,0.0,,,noun:1,noun:1,,,US spelling of decalitre.,Ten litres. Symbol: daL
decameter,decametre,reverse,,,,2,,0.0,0.0,,,noun:1,noun:3,,,US spelling of decametre.,An SI unit of length equal to 10¹ metres. Symbol: dam
dekagram,decagram,variant,,,,1,,0.0,0.0,,,noun:1,noun:2,,,Alternative form of decagram.,An SI unit of mass equal to 10¹ grams. Symbol: dag
dekaliter,decalitre,variant,,,,3,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of decalitre.,Ten litres. Symbol: daL
dekalitre,decalitre,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of decalitre.,Ten litres. Symbol: daL
dekameter,decametre,variant,,,,3,,0.0,0.0,,,noun:1,noun:3,,,Alternative form of decametre.,An SI unit of length equal to 10¹ metres. Symbol: dam
dekametre,decametre,variant,,,,1,,0.0,0.0,,,noun:1,noun:3,,,Alternative form of decametre.,An SI unit of length equal to 10¹ metres. Symbol: dam
demythologisation,demythologization,variant,,,,1,,0.0,0.0,,,noun:1,noun:2,,NOUN:6,Alternative form of demythologization.,"The removal of mythological elements from something, especially from r"
detribalisation,detribalization,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of detribalization.,Process of detribalizing.
devitalisation,devitalization,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of devitalization.,The act or process of devitalizing; its results.
dichotomisation,dichotomization,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of dichotomization.,The act of dichotomizing or the thing dichotomized; classification int
